dataset,k,nodes,edges,dijkstra,floyd_warshall,johnson,fastest_algorithm,dijkstra_speedup_vs_floyd,johnson_speedup_vs_floyd
breast_cancer,5,569,2168,0.054896181,0.166300438,0.061103452,dijkstra,3.0293626072094155,2.721620997779307
breast_cancer,10,569,4277,0.0733695355,0.1971023015,0.08613824249999999,dijkstra,2.686432456697235,2.288208997298732
breast_cancer,20,569,8390,0.1109171685,0.2249568595,0.1345500315,dijkstra,2.0281518410740893,1.6719197832369144
diabetes,5,442,1586,0.0319217705,0.075805856,0.035192564499999995,dijkstra,2.3747384563146334,2.1540304628837155
diabetes,10,442,3083,0.0441561205,0.0974121285,0.051452063,dijkstra,2.206084397745042,1.8932599165168558
diabetes,20,442,6084,0.06438798800000001,0.112220422,0.07864091200000001,dijkstra,1.7428782213228962,1.426997972760031
digits,5,1797,6427,0.5736028165,4.9695733230000005,0.646768318,dijkstra,8.66378821729513,7.683699378422554
digits,10,1797,12618,0.763962764,6.1089968475,0.9172234375,dijkstra,7.996458905292929,6.66031481287786
digits,20,1797,24927,1.1736723645,7.1267176254999995,1.4573580074999999,dijkstra,6.072152536824939,4.890162601655723
wine,5,178,634,0.00499690904545445,0.00445966386363635,0.0056446724444444,floyd_warshall,0.8924844985307833,0.790066014906789
wine,10,178,1231,0.0068170645625,0.00516215265,0.008031061083333301,floyd_warshall,0.757239806469854,0.642773426379848
wine,20,178,2390,0.010352869,0.0059701371875,0.0125501545,floyd_warshall,0.5766649986105301,0.4757022861750427
