dataset,k,comparison,finite_pattern_match,max_abs_error,max_rel_error,rtol,atol,passed
wine,5,floyd_warshall_vs_dijkstra,True,1.0658141036401504e-14,4.676241767761196e-16,1e-10,1e-12,True
wine,5,johnson_vs_dijkstra,True,0.0,0.0,1e-10,1e-12,True
wine,10,floyd_warshall_vs_dijkstra,True,3.552713678800501e-15,3.619043637054465e-16,1e-10,1e-12,True
wine,10,johnson_vs_dijkstra,True,0.0,0.0,1e-10,1e-12,True
wine,20,floyd_warshall_vs_dijkstra,True,3.552713678800501e-15,3.651619659453201e-16,1e-10,1e-12,True
wine,20,johnson_vs_dijkstra,True,0.0,0.0,1e-10,1e-12,True
diabetes,5,floyd_warshall_vs_dijkstra,True,7.105427357601002e-15,4.797018258695437e-16,1e-10,1e-12,True
diabetes,5,johnson_vs_dijkstra,True,0.0,0.0,1e-10,1e-12,True
diabetes,10,floyd_warshall_vs_dijkstra,True,3.552713678800501e-15,4.40886139039913e-16,1e-10,1e-12,True
diabetes,10,johnson_vs_dijkstra,True,0.0,0.0,1e-10,1e-12,True
diabetes,20,floyd_warshall_vs_dijkstra,True,3.552713678800501e-15,3.9950444154165413e-16,1e-10,1e-12,True
diabetes,20,johnson_vs_dijkstra,True,0.0,0.0,1e-10,1e-12,True
breast_cancer,5,floyd_warshall_vs_dijkstra,True,1.4210854715202004e-14,4.898368579688744e-16,1e-10,1e-12,True
breast_cancer,5,johnson_vs_dijkstra,True,0.0,0.0,1e-10,1e-12,True
breast_cancer,10,floyd_warshall_vs_dijkstra,True,7.105427357601002e-15,4.39824146941646e-16,1e-10,1e-12,True
breast_cancer,10,johnson_vs_dijkstra,True,0.0,0.0,1e-10,1e-12,True
breast_cancer,20,floyd_warshall_vs_dijkstra,True,7.105427357601002e-15,4.368075906628625e-16,1e-10,1e-12,True
breast_cancer,20,johnson_vs_dijkstra,True,0.0,0.0,1e-10,1e-12,True
digits,5,floyd_warshall_vs_dijkstra,True,5.684341886080803e-14,6.444861354357308e-16,1e-10,1e-12,True
digits,5,johnson_vs_dijkstra,True,0.0,0.0,1e-10,1e-12,True
digits,10,floyd_warshall_vs_dijkstra,True,2.8421709430404014e-14,5.238812658767169e-16,1e-10,1e-12,True
digits,10,johnson_vs_dijkstra,True,0.0,0.0,1e-10,1e-12,True
digits,20,floyd_warshall_vs_dijkstra,True,1.4210854715202004e-14,4.435922186862517e-16,1e-10,1e-12,True
digits,20,johnson_vs_dijkstra,True,0.0,0.0,1e-10,1e-12,True
