dataset,k,algorithm,method,repeat,nodes,edges,baseline_rss_mib,baseline_maxrss_mib,peak_maxrss_mib,incremental_peak_rss_mib,end_rss_mib,output_matrix_mib,temporary_over_output_mib,affinity_cpu
breast_cancer,10,johnson,J,1,569,4277,37.63671875,37.4921875,42.8671875,5.23046875,42.93359375,2.4701004028320312,2.7603683471679688,0
breast_cancer,10,johnson,J,2,569,4277,37.63671875,37.49609375,42.87109375,5.234375,42.93359375,2.4701004028320312,2.7642745971679688,0
breast_cancer,10,johnson,J,3,569,4277,37.63671875,37.49609375,42.87109375,5.234375,42.93359375,2.4701004028320312,2.7642745971679688,0
breast_cancer,10,johnson,J,4,569,4277,37.63671875,37.49609375,42.87109375,5.234375,42.93359375,2.4701004028320312,2.7642745971679688,0
breast_cancer,10,johnson,J,5,569,4277,37.640625,37.49609375,42.87109375,5.23046875,42.9375,2.4701004028320312,2.7603683471679688,0
breast_cancer,10,johnson,J,6,569,4277,37.640625,37.5,42.875,5.234375,42.9375,2.4701004028320312,2.7642745971679688,0
breast_cancer,10,johnson,J,7,569,4277,37.640625,37.5,42.875,5.234375,42.9375,2.4701004028320312,2.7642745971679688,0
breast_cancer,10,johnson,J,8,569,4277,37.640625,37.5,42.875,5.234375,42.94140625,2.4701004028320312,2.7642745971679688,0
breast_cancer,10,johnson,J,9,569,4277,37.640625,37.5,42.875,5.234375,42.94140625,2.4701004028320312,2.7642745971679688,0
breast_cancer,10,johnson,J,10,569,4277,37.64453125,37.5,42.875,5.23046875,42.9453125,2.4701004028320312,2.7603683471679688,0
breast_cancer,10,johnson,J,11,569,4277,37.64453125,37.50390625,42.87890625,5.234375,42.9453125,2.4701004028320312,2.7642745971679688,0
breast_cancer,10,johnson,J,12,569,4277,37.6484375,37.50390625,42.87890625,5.23046875,42.9453125,2.4701004028320312,2.7603683471679688,0
breast_cancer,10,johnson,J,13,569,4277,37.6484375,37.50390625,42.87890625,5.23046875,42.9453125,2.4701004028320312,2.7603683471679688,0
breast_cancer,10,johnson,J,14,569,4277,37.6484375,37.5078125,42.8828125,5.234375,42.94921875,2.4701004028320312,2.7642745971679688,0
breast_cancer,10,johnson,J,15,569,4277,37.65234375,37.5078125,42.8828125,5.23046875,42.953125,2.4701004028320312,2.7603683471679688,0
breast_cancer,10,johnson,J,16,569,4277,37.65234375,37.51171875,42.88671875,5.234375,42.953125,2.4701004028320312,2.7642745971679688,0
breast_cancer,10,johnson,J,17,569,4277,37.65234375,37.51171875,42.88671875,5.234375,42.95703125,2.4701004028320312,2.7642745971679688,0
breast_cancer,10,johnson,J,18,569,4277,37.65234375,37.51171875,42.88671875,5.234375,42.95703125,2.4701004028320312,2.7642745971679688,0
breast_cancer,10,johnson,J,19,569,4277,37.65625,37.51171875,42.88671875,5.23046875,42.95703125,2.4701004028320312,2.7603683471679688,0
breast_cancer,10,johnson,J,20,569,4277,37.65625,37.515625,42.890625,5.234375,42.95703125,2.4701004028320312,2.7642745971679688,0
breast_cancer,10,johnson,J,21,569,4277,37.65625,37.515625,42.890625,5.234375,42.95703125,2.4701004028320312,2.7642745971679688,0
breast_cancer,10,johnson,J,22,569,4277,37.65625,37.515625,42.890625,5.234375,42.95703125,2.4701004028320312,2.7642745971679688,0
breast_cancer,10,johnson,J,23,569,4277,37.65625,37.515625,42.890625,5.234375,42.95703125,2.4701004028320312,2.7642745971679688,0
breast_cancer,10,johnson,J,24,569,4277,37.65625,37.515625,42.890625,5.234375,42.95703125,2.4701004028320312,2.7642745971679688,0
breast_cancer,10,johnson,J,25,569,4277,37.66015625,37.515625,42.890625,5.23046875,42.95703125,2.4701004028320312,2.7603683471679688,0
breast_cancer,10,johnson,J,26,569,4277,37.66015625,37.51953125,42.89453125,5.234375,42.96484375,2.4701004028320312,2.7642745971679688,0
breast_cancer,10,johnson,J,27,569,4277,37.66015625,37.51953125,42.89453125,5.234375,42.96484375,2.4701004028320312,2.7642745971679688,0
breast_cancer,10,johnson,J,28,569,4277,37.6640625,37.51953125,42.89453125,5.23046875,42.96484375,2.4701004028320312,2.7603683471679688,0
breast_cancer,10,johnson,J,29,569,4277,37.6640625,37.5234375,42.8984375,5.234375,42.96875,2.4701004028320312,2.7642745971679688,0
breast_cancer,10,johnson,J,30,569,4277,37.66796875,37.5234375,42.8984375,5.23046875,42.96875,2.4701004028320312,2.7603683471679688,0
