dataset,k,algorithm,method,repeat,nodes,edges,baseline_rss_mib,baseline_maxrss_mib,peak_maxrss_mib,incremental_peak_rss_mib,end_rss_mib,output_matrix_mib,temporary_over_output_mib,affinity_cpu
breast_cancer,20,floyd_warshall,FW,1,569,8390,37.5859375,37.37109375,42.62109375,5.03515625,42.75,2.4701004028320312,2.5650558471679688,0
breast_cancer,20,floyd_warshall,FW,2,569,8390,37.5859375,37.375,42.625,5.0390625,42.75,2.4701004028320312,2.5689620971679688,0
breast_cancer,20,floyd_warshall,FW,3,569,8390,37.5859375,37.375,42.625,5.0390625,42.75,2.4701004028320312,2.5689620971679688,0
breast_cancer,20,floyd_warshall,FW,4,569,8390,37.5859375,37.375,42.625,5.0390625,42.75,2.4701004028320312,2.5689620971679688,0
breast_cancer,20,floyd_warshall,FW,5,569,8390,37.58984375,37.375,42.625,5.03515625,42.75390625,2.4701004028320312,2.5650558471679688,0
breast_cancer,20,floyd_warshall,FW,6,569,8390,37.58984375,37.37890625,42.62890625,5.0390625,42.75390625,2.4701004028320312,2.5689620971679688,0
breast_cancer,20,floyd_warshall,FW,7,569,8390,37.58984375,37.37890625,42.62890625,5.0390625,42.75390625,2.4701004028320312,2.5689620971679688,0
breast_cancer,20,floyd_warshall,FW,8,569,8390,37.58984375,37.37890625,42.62890625,5.0390625,42.75390625,2.4701004028320312,2.5689620971679688,0
breast_cancer,20,floyd_warshall,FW,9,569,8390,37.58984375,37.37890625,42.62890625,5.0390625,42.76171875,2.4701004028320312,2.5689620971679688,0
breast_cancer,20,floyd_warshall,FW,10,569,8390,37.59765625,37.37890625,42.62890625,5.03125,42.76171875,2.4701004028320312,2.5611495971679688,0
breast_cancer,20,floyd_warshall,FW,11,569,8390,37.59765625,37.3828125,42.6328125,5.03515625,42.76171875,2.4701004028320312,2.5650558471679688,0
breast_cancer,20,floyd_warshall,FW,12,569,8390,37.59765625,37.3828125,42.6328125,5.03515625,42.76171875,2.4701004028320312,2.5650558471679688,0
breast_cancer,20,floyd_warshall,FW,13,569,8390,37.59765625,37.38671875,42.63671875,5.0390625,42.76171875,2.4701004028320312,2.5689620971679688,0
breast_cancer,20,floyd_warshall,FW,14,569,8390,37.59765625,37.38671875,42.63671875,5.0390625,42.76171875,2.4701004028320312,2.5689620971679688,0
breast_cancer,20,floyd_warshall,FW,15,569,8390,37.6015625,37.38671875,42.63671875,5.03515625,42.765625,2.4701004028320312,2.5650558471679688,0
breast_cancer,20,floyd_warshall,FW,16,569,8390,37.6015625,37.390625,42.640625,5.0390625,42.765625,2.4701004028320312,2.5689620971679688,0
breast_cancer,20,floyd_warshall,FW,17,569,8390,37.6015625,37.390625,42.640625,5.0390625,42.765625,2.4701004028320312,2.5689620971679688,0
breast_cancer,20,floyd_warshall,FW,18,569,8390,37.6015625,37.390625,42.640625,5.0390625,42.76953125,2.4701004028320312,2.5689620971679688,0
breast_cancer,20,floyd_warshall,FW,19,569,8390,37.60546875,37.390625,42.640625,5.03515625,42.76953125,2.4701004028320312,2.5650558471679688,0
breast_cancer,20,floyd_warshall,FW,20,569,8390,37.60546875,37.39453125,42.64453125,5.0390625,42.76953125,2.4701004028320312,2.5689620971679688,0
breast_cancer,20,floyd_warshall,FW,21,569,8390,37.60546875,37.39453125,42.64453125,5.0390625,42.76953125,2.4701004028320312,2.5689620971679688,0
breast_cancer,20,floyd_warshall,FW,22,569,8390,37.60546875,37.39453125,42.64453125,5.0390625,42.76953125,2.4701004028320312,2.5689620971679688,0
breast_cancer,20,floyd_warshall,FW,23,569,8390,37.60546875,37.39453125,42.64453125,5.0390625,42.76953125,2.4701004028320312,2.5689620971679688,0
breast_cancer,20,floyd_warshall,FW,24,569,8390,37.60546875,37.39453125,42.64453125,5.0390625,42.76953125,2.4701004028320312,2.5689620971679688,0
breast_cancer,20,floyd_warshall,FW,25,569,8390,37.609375,37.39453125,42.64453125,5.03515625,42.7734375,2.4701004028320312,2.5650558471679688,0
breast_cancer,20,floyd_warshall,FW,26,569,8390,37.609375,37.3984375,42.6484375,5.0390625,42.7734375,2.4701004028320312,2.5689620971679688,0
breast_cancer,20,floyd_warshall,FW,27,569,8390,37.609375,37.3984375,42.6484375,5.0390625,42.7734375,2.4701004028320312,2.5689620971679688,0
breast_cancer,20,floyd_warshall,FW,28,569,8390,37.61328125,37.3984375,42.6484375,5.03515625,42.77734375,2.4701004028320312,2.5650558471679688,0
breast_cancer,20,floyd_warshall,FW,29,569,8390,37.61328125,37.40234375,42.65234375,5.0390625,42.77734375,2.4701004028320312,2.5689620971679688,0
breast_cancer,20,floyd_warshall,FW,30,569,8390,37.6171875,37.40234375,42.65234375,5.03515625,42.78125,2.4701004028320312,2.5650558471679688,0
