dataset,k,algorithm,method,repeat,nodes,edges,baseline_rss_mib,baseline_maxrss_mib,peak_maxrss_mib,incremental_peak_rss_mib,end_rss_mib,output_matrix_mib,temporary_over_output_mib,affinity_cpu
breast_cancer,5,dijkstra,D,1,569,2168,37.60546875,37.4453125,42.8203125,5.21484375,42.87890625,2.4701004028320312,2.7447433471679688,0
breast_cancer,5,dijkstra,D,2,569,2168,37.60546875,37.44921875,42.69921875,5.09375,42.87890625,2.4701004028320312,2.6236495971679688,0
breast_cancer,5,dijkstra,D,3,569,2168,37.60546875,37.44921875,42.69921875,5.09375,42.87890625,2.4701004028320312,2.6236495971679688,0
breast_cancer,5,dijkstra,D,4,569,2168,37.60546875,37.44921875,42.69921875,5.09375,42.87890625,2.4701004028320312,2.6236495971679688,0
breast_cancer,5,dijkstra,D,5,569,2168,37.609375,37.44921875,42.82421875,5.21484375,42.8828125,2.4701004028320312,2.7447433471679688,0
breast_cancer,5,dijkstra,D,6,569,2168,37.609375,37.453125,42.703125,5.09375,42.8828125,2.4701004028320312,2.6236495971679688,0
breast_cancer,5,dijkstra,D,7,569,2168,37.609375,37.453125,42.703125,5.09375,42.8828125,2.4701004028320312,2.6236495971679688,0
breast_cancer,5,dijkstra,D,8,569,2168,37.609375,37.453125,42.703125,5.09375,42.8828125,2.4701004028320312,2.6236495971679688,0
breast_cancer,5,dijkstra,D,9,569,2168,37.609375,37.453125,42.703125,5.09375,42.8828125,2.4701004028320312,2.6236495971679688,0
breast_cancer,5,dijkstra,D,10,569,2168,37.609375,37.453125,42.828125,5.21875,42.88671875,2.4701004028320312,2.7486495971679688,0
breast_cancer,5,dijkstra,D,11,569,2168,37.61328125,37.453125,42.828125,5.21484375,42.88671875,2.4701004028320312,2.7447433471679688,0
breast_cancer,5,dijkstra,D,12,569,2168,37.61328125,37.453125,42.828125,5.21484375,42.88671875,2.4701004028320312,2.7447433471679688,0
breast_cancer,5,dijkstra,D,13,569,2168,37.61328125,37.453125,42.828125,5.21484375,42.88671875,2.4701004028320312,2.7447433471679688,0
breast_cancer,5,dijkstra,D,14,569,2168,37.61328125,37.45703125,42.83203125,5.21875,42.890625,2.4701004028320312,2.7486495971679688,0
breast_cancer,5,dijkstra,D,15,569,2168,37.6171875,37.45703125,42.83203125,5.21484375,42.89453125,2.4701004028320312,2.7447433471679688,0
breast_cancer,5,dijkstra,D,16,569,2168,37.6171875,37.4609375,42.8359375,5.21875,42.89453125,2.4701004028320312,2.7486495971679688,0
breast_cancer,5,dijkstra,D,17,569,2168,37.6171875,37.4609375,42.8359375,5.21875,42.8984375,2.4701004028320312,2.7486495971679688,0
breast_cancer,5,dijkstra,D,18,569,2168,37.62109375,37.46484375,42.83984375,5.21875,42.8984375,2.4701004028320312,2.7486495971679688,0
breast_cancer,5,dijkstra,D,19,569,2168,37.62109375,37.46484375,42.83984375,5.21875,42.8984375,2.4701004028320312,2.7486495971679688,0
breast_cancer,5,dijkstra,D,20,569,2168,37.62109375,37.46484375,42.83984375,5.21875,42.8984375,2.4701004028320312,2.7486495971679688,0
breast_cancer,5,dijkstra,D,21,569,2168,37.62109375,37.46484375,42.83984375,5.21875,42.8984375,2.4701004028320312,2.7486495971679688,0
breast_cancer,5,dijkstra,D,22,569,2168,37.62109375,37.46484375,42.83984375,5.21875,42.8984375,2.4701004028320312,2.7486495971679688,0
breast_cancer,5,dijkstra,D,23,569,2168,37.62109375,37.46484375,42.83984375,5.21875,42.8984375,2.4701004028320312,2.7486495971679688,0
breast_cancer,5,dijkstra,D,24,569,2168,37.62109375,37.46484375,42.83984375,5.21875,42.8984375,2.4701004028320312,2.7486495971679688,0
breast_cancer,5,dijkstra,D,25,569,2168,37.625,37.46484375,42.83984375,5.21484375,42.8984375,2.4701004028320312,2.7447433471679688,0
breast_cancer,5,dijkstra,D,26,569,2168,37.625,37.46875,42.84375,5.21875,42.90625,2.4701004028320312,2.7486495971679688,0
breast_cancer,5,dijkstra,D,27,569,2168,37.62890625,37.46875,42.84375,5.21484375,42.90625,2.4701004028320312,2.7447433471679688,0
breast_cancer,5,dijkstra,D,28,569,2168,37.62890625,37.4765625,42.7265625,5.09765625,42.90625,2.4701004028320312,2.6275558471679688,0
breast_cancer,5,dijkstra,D,29,569,2168,37.62890625,37.4765625,42.8515625,5.22265625,42.91015625,2.4701004028320312,2.7525558471679688,0
breast_cancer,5,dijkstra,D,30,569,2168,37.6328125,37.4765625,42.8515625,5.21875,42.91015625,2.4701004028320312,2.7486495971679688,0
