dataset,k,algorithm,method,repeat,nodes,edges,baseline_rss_mib,baseline_maxrss_mib,peak_maxrss_mib,incremental_peak_rss_mib,end_rss_mib,output_matrix_mib,temporary_over_output_mib,affinity_cpu
diabetes,10,johnson,J,1,442,3083,37.625,37.46875,41.96875,4.34375,42.0234375,1.490509033203125,2.853240966796875,0
diabetes,10,johnson,J,2,442,3083,37.62890625,37.47265625,41.97265625,4.34375,42.0234375,1.490509033203125,2.853240966796875,0
diabetes,10,johnson,J,3,442,3083,37.62890625,37.47265625,41.97265625,4.34375,42.0234375,1.490509033203125,2.853240966796875,0
diabetes,10,johnson,J,4,442,3083,37.62890625,37.47265625,41.97265625,4.34375,42.0234375,1.490509033203125,2.853240966796875,0
diabetes,10,johnson,J,5,442,3083,37.6328125,37.47265625,41.97265625,4.33984375,42.02734375,1.490509033203125,2.849334716796875,0
diabetes,10,johnson,J,6,442,3083,37.6328125,37.4765625,41.9765625,4.34375,42.02734375,1.490509033203125,2.853240966796875,0
diabetes,10,johnson,J,7,442,3083,37.6328125,37.4765625,41.9765625,4.34375,42.02734375,1.490509033203125,2.853240966796875,0
diabetes,10,johnson,J,8,442,3083,37.6328125,37.4765625,41.9765625,4.34375,42.02734375,1.490509033203125,2.853240966796875,0
diabetes,10,johnson,J,9,442,3083,37.6328125,37.4765625,41.9765625,4.34375,42.02734375,1.490509033203125,2.853240966796875,0
diabetes,10,johnson,J,10,442,3083,37.6328125,37.4765625,41.9765625,4.34375,42.02734375,1.490509033203125,2.853240966796875,0
diabetes,10,johnson,J,11,442,3083,37.6328125,37.4765625,41.9765625,4.34375,42.02734375,1.490509033203125,2.853240966796875,0
diabetes,10,johnson,J,12,442,3083,37.6328125,37.4765625,41.9765625,4.34375,42.03125,1.490509033203125,2.853240966796875,0
diabetes,10,johnson,J,13,442,3083,37.6328125,37.4765625,41.9765625,4.34375,42.03125,1.490509033203125,2.853240966796875,0
diabetes,10,johnson,J,14,442,3083,37.63671875,37.4765625,41.9765625,4.33984375,42.03515625,1.490509033203125,2.849334716796875,0
diabetes,10,johnson,J,15,442,3083,37.640625,37.4765625,41.9765625,4.3359375,42.0390625,1.490509033203125,2.845428466796875,0
diabetes,10,johnson,J,16,442,3083,37.640625,37.484375,41.984375,4.34375,42.04296875,1.490509033203125,2.853240966796875,0
diabetes,10,johnson,J,17,442,3083,37.640625,37.484375,41.984375,4.34375,42.04296875,1.490509033203125,2.853240966796875,0
diabetes,10,johnson,J,18,442,3083,37.64453125,37.484375,41.984375,4.33984375,42.04296875,1.490509033203125,2.849334716796875,0
diabetes,10,johnson,J,19,442,3083,37.64453125,37.48828125,41.98828125,4.34375,42.04296875,1.490509033203125,2.853240966796875,0
diabetes,10,johnson,J,20,442,3083,37.64453125,37.48828125,41.98828125,4.34375,42.04296875,1.490509033203125,2.853240966796875,0
diabetes,10,johnson,J,21,442,3083,37.64453125,37.48828125,41.98828125,4.34375,42.04296875,1.490509033203125,2.853240966796875,0
diabetes,10,johnson,J,22,442,3083,37.64453125,37.48828125,41.98828125,4.34375,42.04296875,1.490509033203125,2.853240966796875,0
diabetes,10,johnson,J,23,442,3083,37.64453125,37.48828125,41.98828125,4.34375,42.04296875,1.490509033203125,2.853240966796875,0
diabetes,10,johnson,J,24,442,3083,37.64453125,37.48828125,41.98828125,4.34375,42.04296875,1.490509033203125,2.853240966796875,0
diabetes,10,johnson,J,25,442,3083,37.6484375,37.48828125,41.98828125,4.33984375,42.046875,1.490509033203125,2.849334716796875,0
diabetes,10,johnson,J,26,442,3083,37.6484375,37.4921875,41.9921875,4.34375,42.05078125,1.490509033203125,2.853240966796875,0
diabetes,10,johnson,J,27,442,3083,37.65234375,37.4921875,41.9921875,4.33984375,42.05078125,1.490509033203125,2.849334716796875,0
diabetes,10,johnson,J,28,442,3083,37.65234375,37.49609375,41.99609375,4.34375,42.05078125,1.490509033203125,2.853240966796875,0
diabetes,10,johnson,J,29,442,3083,37.65234375,37.49609375,41.99609375,4.34375,42.0546875,1.490509033203125,2.853240966796875,0
diabetes,10,johnson,J,30,442,3083,37.65625,37.49609375,41.99609375,4.33984375,42.0546875,1.490509033203125,2.849334716796875,0
