dataset,k,algorithm,method,repeat,nodes,edges,baseline_rss_mib,baseline_maxrss_mib,peak_maxrss_mib,incremental_peak_rss_mib,end_rss_mib,output_matrix_mib,temporary_over_output_mib,affinity_cpu
diabetes,20,floyd_warshall,FW,1,442,6084,37.69140625,37.59765625,41.59765625,3.90625,41.640625,1.490509033203125,2.415740966796875,0
diabetes,20,floyd_warshall,FW,2,442,6084,37.6953125,37.6015625,41.6015625,3.90625,41.640625,1.490509033203125,2.415740966796875,0
diabetes,20,floyd_warshall,FW,3,442,6084,37.6953125,37.6015625,41.6015625,3.90625,41.640625,1.490509033203125,2.415740966796875,0
diabetes,20,floyd_warshall,FW,4,442,6084,37.6953125,37.6015625,41.6015625,3.90625,41.640625,1.490509033203125,2.415740966796875,0
diabetes,20,floyd_warshall,FW,5,442,6084,37.69921875,37.6015625,41.6015625,3.90234375,41.64453125,1.490509033203125,2.411834716796875,0
diabetes,20,floyd_warshall,FW,6,442,6084,37.69921875,37.60546875,41.60546875,3.90625,41.64453125,1.490509033203125,2.415740966796875,0
diabetes,20,floyd_warshall,FW,7,442,6084,37.69921875,37.60546875,41.60546875,3.90625,41.64453125,1.490509033203125,2.415740966796875,0
diabetes,20,floyd_warshall,FW,8,442,6084,37.69921875,37.60546875,41.60546875,3.90625,41.64453125,1.490509033203125,2.415740966796875,0
diabetes,20,floyd_warshall,FW,9,442,6084,37.69921875,37.60546875,41.60546875,3.90625,41.64453125,1.490509033203125,2.415740966796875,0
diabetes,20,floyd_warshall,FW,10,442,6084,37.69921875,37.60546875,41.60546875,3.90625,41.64453125,1.490509033203125,2.415740966796875,0
diabetes,20,floyd_warshall,FW,11,442,6084,37.69921875,37.60546875,41.60546875,3.90625,41.64453125,1.490509033203125,2.415740966796875,0
diabetes,20,floyd_warshall,FW,12,442,6084,37.69921875,37.60546875,41.60546875,3.90625,41.64453125,1.490509033203125,2.415740966796875,0
diabetes,20,floyd_warshall,FW,13,442,6084,37.69921875,37.60546875,41.60546875,3.90625,41.65234375,1.490509033203125,2.415740966796875,0
diabetes,20,floyd_warshall,FW,14,442,6084,37.70703125,37.609375,41.609375,3.90234375,41.65234375,1.490509033203125,2.411834716796875,0
diabetes,20,floyd_warshall,FW,15,442,6084,37.7109375,37.609375,41.609375,3.8984375,41.65625,1.490509033203125,2.407928466796875,0
diabetes,20,floyd_warshall,FW,16,442,6084,37.7109375,37.61328125,41.61328125,3.90234375,41.65625,1.490509033203125,2.411834716796875,0
diabetes,20,floyd_warshall,FW,17,442,6084,37.7109375,37.6171875,41.6171875,3.90625,41.65625,1.490509033203125,2.415740966796875,0
diabetes,20,floyd_warshall,FW,18,442,6084,37.7109375,37.6171875,41.6171875,3.90625,41.65625,1.490509033203125,2.415740966796875,0
diabetes,20,floyd_warshall,FW,19,442,6084,37.7109375,37.6171875,41.6171875,3.90625,41.65625,1.490509033203125,2.415740966796875,0
diabetes,20,floyd_warshall,FW,20,442,6084,37.7109375,37.6171875,41.6171875,3.90625,41.65625,1.490509033203125,2.415740966796875,0
diabetes,20,floyd_warshall,FW,21,442,6084,37.7109375,37.6171875,41.6171875,3.90625,41.65625,1.490509033203125,2.415740966796875,0
diabetes,20,floyd_warshall,FW,22,442,6084,37.7109375,37.6171875,41.6171875,3.90625,41.66015625,1.490509033203125,2.415740966796875,0
diabetes,20,floyd_warshall,FW,23,442,6084,37.71484375,37.62109375,41.62109375,3.90625,41.66015625,1.490509033203125,2.415740966796875,0
diabetes,20,floyd_warshall,FW,24,442,6084,37.71484375,37.62109375,41.62109375,3.90625,41.66015625,1.490509033203125,2.415740966796875,0
diabetes,20,floyd_warshall,FW,25,442,6084,37.71875,37.62109375,41.62109375,3.90234375,41.6640625,1.490509033203125,2.411834716796875,0
diabetes,20,floyd_warshall,FW,26,442,6084,37.71875,37.625,41.625,3.90625,41.6640625,1.490509033203125,2.415740966796875,0
diabetes,20,floyd_warshall,FW,27,442,6084,37.71484375,37.625,41.625,3.91015625,41.6640625,1.490509033203125,2.419647216796875,0
diabetes,20,floyd_warshall,FW,28,442,6084,37.71875,37.625,41.625,3.90625,41.6640625,1.490509033203125,2.415740966796875,0
diabetes,20,floyd_warshall,FW,29,442,6084,37.71875,37.625,41.625,3.90625,41.6640625,1.490509033203125,2.415740966796875,0
diabetes,20,floyd_warshall,FW,30,442,6084,37.72265625,37.625,41.625,3.90234375,41.66796875,1.490509033203125,2.411834716796875,0
