dataset,k,algorithm,method,repeat,nodes,edges,baseline_rss_mib,baseline_maxrss_mib,peak_maxrss_mib,incremental_peak_rss_mib,end_rss_mib,output_matrix_mib,temporary_over_output_mib,affinity_cpu
diabetes,5,dijkstra,D,1,442,1586,37.43359375,37.234375,41.859375,4.42578125,41.875,1.490509033203125,2.935272216796875,0
diabetes,5,dijkstra,D,2,442,1586,37.43359375,37.23828125,41.86328125,4.4296875,41.875,1.490509033203125,2.939178466796875,0
diabetes,5,dijkstra,D,3,442,1586,37.43359375,37.23828125,41.86328125,4.4296875,41.875,1.490509033203125,2.939178466796875,0
diabetes,5,dijkstra,D,4,442,1586,37.43359375,37.23828125,41.86328125,4.4296875,41.875,1.490509033203125,2.939178466796875,0
diabetes,5,dijkstra,D,5,442,1586,37.4375,37.23828125,41.86328125,4.42578125,41.87890625,1.490509033203125,2.935272216796875,0
diabetes,5,dijkstra,D,6,442,1586,37.4375,37.2421875,41.8671875,4.4296875,41.87890625,1.490509033203125,2.939178466796875,0
diabetes,5,dijkstra,D,7,442,1586,37.4375,37.2421875,41.8671875,4.4296875,41.87890625,1.490509033203125,2.939178466796875,0
diabetes,5,dijkstra,D,8,442,1586,37.4375,37.2421875,41.8671875,4.4296875,41.87890625,1.490509033203125,2.939178466796875,0
diabetes,5,dijkstra,D,9,442,1586,37.4375,37.2421875,41.8671875,4.4296875,41.87890625,1.490509033203125,2.939178466796875,0
diabetes,5,dijkstra,D,10,442,1586,37.4375,37.2421875,41.8671875,4.4296875,41.87890625,1.490509033203125,2.939178466796875,0
diabetes,5,dijkstra,D,11,442,1586,37.4375,37.2421875,41.8671875,4.4296875,41.8828125,1.490509033203125,2.939178466796875,0
diabetes,5,dijkstra,D,12,442,1586,37.4375,37.2421875,41.8671875,4.4296875,41.8828125,1.490509033203125,2.939178466796875,0
diabetes,5,dijkstra,D,13,442,1586,37.44140625,37.2421875,41.8671875,4.42578125,41.8828125,1.490509033203125,2.935272216796875,0
diabetes,5,dijkstra,D,14,442,1586,37.44140625,37.2421875,41.8671875,4.42578125,41.88671875,1.490509033203125,2.935272216796875,0
diabetes,5,dijkstra,D,15,442,1586,37.4453125,37.24609375,41.87109375,4.42578125,41.890625,1.490509033203125,2.935272216796875,0
diabetes,5,dijkstra,D,16,442,1586,37.4453125,37.25,41.875,4.4296875,41.89453125,1.490509033203125,2.939178466796875,0
diabetes,5,dijkstra,D,17,442,1586,37.44921875,37.25,41.875,4.42578125,41.89453125,1.490509033203125,2.935272216796875,0
diabetes,5,dijkstra,D,18,442,1586,37.44921875,37.25390625,41.87890625,4.4296875,41.89453125,1.490509033203125,2.939178466796875,0
diabetes,5,dijkstra,D,19,442,1586,37.44921875,37.25390625,41.87890625,4.4296875,41.89453125,1.490509033203125,2.939178466796875,0
diabetes,5,dijkstra,D,20,442,1586,37.44921875,37.25390625,41.87890625,4.4296875,41.89453125,1.490509033203125,2.939178466796875,0
diabetes,5,dijkstra,D,21,442,1586,37.44921875,37.25390625,41.87890625,4.4296875,41.89453125,1.490509033203125,2.939178466796875,0
diabetes,5,dijkstra,D,22,442,1586,37.44921875,37.25390625,41.87890625,4.4296875,41.89453125,1.490509033203125,2.939178466796875,0
diabetes,5,dijkstra,D,23,442,1586,37.44921875,37.25390625,41.87890625,4.4296875,41.89453125,1.490509033203125,2.939178466796875,0
diabetes,5,dijkstra,D,24,442,1586,37.44921875,37.25390625,41.87890625,4.4296875,41.89453125,1.490509033203125,2.939178466796875,0
diabetes,5,dijkstra,D,25,442,1586,37.453125,37.25390625,41.87890625,4.42578125,41.89453125,1.490509033203125,2.935272216796875,0
diabetes,5,dijkstra,D,26,442,1586,37.45703125,37.2578125,41.8828125,4.42578125,41.90234375,1.490509033203125,2.935272216796875,0
diabetes,5,dijkstra,D,27,442,1586,37.45703125,37.26171875,41.88671875,4.4296875,41.90234375,1.490509033203125,2.939178466796875,0
diabetes,5,dijkstra,D,28,442,1586,37.45703125,37.26171875,41.88671875,4.4296875,41.90234375,1.490509033203125,2.939178466796875,0
diabetes,5,dijkstra,D,29,442,1586,37.45703125,37.26171875,41.88671875,4.4296875,41.90625,1.490509033203125,2.939178466796875,0
diabetes,5,dijkstra,D,30,442,1586,37.4609375,37.26171875,41.88671875,4.42578125,41.90625,1.490509033203125,2.935272216796875,0
