dataset,k,algorithm,method,repeat,nodes,edges,baseline_rss_mib,baseline_maxrss_mib,peak_maxrss_mib,incremental_peak_rss_mib,end_rss_mib,output_matrix_mib,temporary_over_output_mib,affinity_cpu
digits,10,dijkstra,D,1,1797,12618,37.671875,37.5625,65.65234375,27.98046875,65.73046875,24.63690948486328,3.3435592651367188,0
digits,10,dijkstra,D,2,1797,12618,37.67578125,37.57421875,65.65234375,27.9765625,65.73046875,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,3,1797,12618,37.67578125,37.57421875,65.65234375,27.9765625,65.73046875,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,4,1797,12618,37.67578125,37.57421875,65.65234375,27.9765625,65.73046875,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,5,1797,12618,37.6796875,37.57421875,65.65625,27.9765625,65.734375,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,6,1797,12618,37.6796875,37.578125,65.65625,27.9765625,65.734375,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,7,1797,12618,37.6796875,37.578125,65.65625,27.9765625,65.734375,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,8,1797,12618,37.6796875,37.578125,65.65625,27.9765625,65.734375,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,9,1797,12618,37.6796875,37.578125,65.65625,27.9765625,65.734375,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,10,1797,12618,37.6796875,37.578125,65.65625,27.9765625,65.734375,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,11,1797,12618,37.6796875,37.578125,65.65625,27.9765625,65.734375,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,12,1797,12618,37.68359375,37.578125,65.66015625,27.9765625,65.7421875,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,13,1797,12618,37.6875,37.58203125,65.6640625,27.9765625,65.7421875,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,14,1797,12618,37.6875,37.58203125,65.6640625,27.9765625,65.74609375,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,15,1797,12618,37.69140625,37.58203125,65.66796875,27.9765625,65.75,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,16,1797,12618,37.69140625,37.58984375,65.66796875,27.9765625,65.75,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,17,1797,12618,37.69140625,37.58984375,65.66796875,27.9765625,65.75,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,18,1797,12618,37.69140625,37.58984375,65.66796875,27.9765625,65.75,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,19,1797,12618,37.69140625,37.58984375,65.66796875,27.9765625,65.75,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,20,1797,12618,37.69140625,37.58984375,65.66796875,27.9765625,65.75,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,21,1797,12618,37.6953125,37.58984375,65.671875,27.9765625,65.75390625,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,22,1797,12618,37.6953125,37.59375,65.671875,27.9765625,65.75390625,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,23,1797,12618,37.6953125,37.59375,65.671875,27.9765625,65.75390625,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,24,1797,12618,37.6953125,37.59375,65.671875,27.9765625,65.75390625,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,25,1797,12618,37.69921875,37.59375,65.67578125,27.9765625,65.75390625,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,26,1797,12618,37.69921875,37.59765625,65.67578125,27.9765625,65.7578125,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,27,1797,12618,37.69921875,37.59765625,65.67578125,27.9765625,65.7578125,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,28,1797,12618,37.69921875,37.59765625,65.67578125,27.9765625,65.7578125,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,29,1797,12618,37.69921875,37.59765625,65.67578125,27.9765625,65.76171875,24.63690948486328,3.3396530151367188,0
digits,10,dijkstra,D,30,1797,12618,37.70703125,37.59765625,65.68359375,27.9765625,65.765625,24.63690948486328,3.3396530151367188,0
