dataset,k,algorithm,method,repeat,nodes,edges,baseline_rss_mib,baseline_maxrss_mib,peak_maxrss_mib,incremental_peak_rss_mib,end_rss_mib,output_matrix_mib,temporary_over_output_mib,affinity_cpu
digits,5,floyd_warshall,FW,1,1797,6427,37.71875,37.60546875,67.3828125,29.6640625,64.59765625,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,2,1797,6427,37.71875,37.62109375,67.3828125,29.6640625,64.59765625,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,3,1797,6427,37.71875,37.62109375,67.3828125,29.6640625,64.59765625,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,4,1797,6427,37.71875,37.62109375,67.3828125,29.6640625,64.59765625,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,5,1797,6427,37.72265625,37.62109375,67.38671875,29.6640625,64.6015625,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,6,1797,6427,37.72265625,37.625,67.38671875,29.6640625,64.6015625,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,7,1797,6427,37.72265625,37.625,67.38671875,29.6640625,64.6015625,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,8,1797,6427,37.72265625,37.625,67.38671875,29.6640625,64.6015625,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,9,1797,6427,37.72265625,37.625,67.38671875,29.6640625,64.6015625,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,10,1797,6427,37.72265625,37.625,67.38671875,29.6640625,64.6015625,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,11,1797,6427,37.72265625,37.625,67.38671875,29.6640625,64.6015625,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,12,1797,6427,37.72265625,37.625,67.38671875,29.6640625,64.60546875,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,13,1797,6427,37.73046875,37.625,67.39453125,29.6640625,64.609375,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,14,1797,6427,37.73046875,37.62890625,67.39453125,29.6640625,64.609375,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,15,1797,6427,37.734375,37.6328125,67.3984375,29.6640625,64.61328125,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,16,1797,6427,37.734375,37.63671875,67.3984375,29.6640625,64.61328125,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,17,1797,6427,37.734375,37.63671875,67.3984375,29.6640625,64.61328125,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,18,1797,6427,37.734375,37.63671875,67.3984375,29.6640625,64.61328125,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,19,1797,6427,37.734375,37.63671875,67.3984375,29.6640625,64.61328125,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,20,1797,6427,37.734375,37.63671875,67.3984375,29.6640625,64.61328125,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,21,1797,6427,37.734375,37.63671875,67.3984375,29.6640625,64.61328125,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,22,1797,6427,37.734375,37.63671875,67.3984375,29.6640625,64.6171875,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,23,1797,6427,37.73828125,37.63671875,67.40234375,29.6640625,64.6171875,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,24,1797,6427,37.73828125,37.640625,67.40234375,29.6640625,64.6171875,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,25,1797,6427,37.7421875,37.640625,67.40625,29.6640625,64.62109375,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,26,1797,6427,37.7421875,37.64453125,67.40625,29.6640625,64.62109375,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,27,1797,6427,37.7421875,37.64453125,67.40625,29.6640625,64.62109375,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,28,1797,6427,37.7421875,37.64453125,67.40625,29.6640625,64.62109375,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,29,1797,6427,37.7421875,37.64453125,67.40625,29.6640625,64.62109375,24.63690948486328,5.027153015136719,0
digits,5,floyd_warshall,FW,30,1797,6427,37.74609375,37.64453125,67.41015625,29.6640625,64.625,24.63690948486328,5.027153015136719,0
