dataset,k,algorithm,method,repeat,nodes,edges,baseline_rss_mib,baseline_maxrss_mib,peak_maxrss_mib,incremental_peak_rss_mib,end_rss_mib,output_matrix_mib,temporary_over_output_mib,affinity_cpu
wine,20,dijkstra,D,1,178,2390,37.50390625,37.3671875,40.3671875,2.86328125,40.484375,0.241729736328125,2.621551513671875,0
wine,20,dijkstra,D,2,178,2390,37.50390625,37.37109375,40.37109375,2.8671875,40.484375,0.241729736328125,2.625457763671875,0
wine,20,dijkstra,D,3,178,2390,37.50390625,37.37109375,40.37109375,2.8671875,40.484375,0.241729736328125,2.625457763671875,0
wine,20,dijkstra,D,4,178,2390,37.50390625,37.37109375,40.37109375,2.8671875,40.484375,0.241729736328125,2.625457763671875,0
wine,20,dijkstra,D,5,178,2390,37.5078125,37.37109375,40.37109375,2.86328125,40.48828125,0.241729736328125,2.621551513671875,0
wine,20,dijkstra,D,6,178,2390,37.5078125,37.375,40.375,2.8671875,40.48828125,0.241729736328125,2.625457763671875,0
wine,20,dijkstra,D,7,178,2390,37.5078125,37.375,40.375,2.8671875,40.48828125,0.241729736328125,2.625457763671875,0
wine,20,dijkstra,D,8,178,2390,37.5078125,37.375,40.375,2.8671875,40.48828125,0.241729736328125,2.625457763671875,0
wine,20,dijkstra,D,9,178,2390,37.5078125,37.375,40.375,2.8671875,40.48828125,0.241729736328125,2.625457763671875,0
wine,20,dijkstra,D,10,178,2390,37.5078125,37.375,40.375,2.8671875,40.48828125,0.241729736328125,2.625457763671875,0
wine,20,dijkstra,D,11,178,2390,37.5078125,37.375,40.375,2.8671875,40.48828125,0.241729736328125,2.625457763671875,0
wine,20,dijkstra,D,12,178,2390,37.5078125,37.375,40.375,2.8671875,40.4921875,0.241729736328125,2.625457763671875,0
wine,20,dijkstra,D,13,178,2390,37.51171875,37.375,40.375,2.86328125,40.49609375,0.241729736328125,2.621551513671875,0
wine,20,dijkstra,D,14,178,2390,37.515625,37.37890625,40.37890625,2.86328125,40.5,0.241729736328125,2.621551513671875,0
wine,20,dijkstra,D,15,178,2390,37.51953125,37.37890625,40.37890625,2.859375,40.50390625,0.241729736328125,2.617645263671875,0
wine,20,dijkstra,D,16,178,2390,37.51953125,37.38671875,40.38671875,2.8671875,40.50390625,0.241729736328125,2.625457763671875,0
wine,20,dijkstra,D,17,178,2390,37.51953125,37.38671875,40.38671875,2.8671875,40.50390625,0.241729736328125,2.625457763671875,0
wine,20,dijkstra,D,18,178,2390,37.51953125,37.38671875,40.38671875,2.8671875,40.50390625,0.241729736328125,2.625457763671875,0
wine,20,dijkstra,D,19,178,2390,37.51953125,37.38671875,40.38671875,2.8671875,40.50390625,0.241729736328125,2.625457763671875,0
wine,20,dijkstra,D,20,178,2390,37.51953125,37.38671875,40.38671875,2.8671875,40.50390625,0.241729736328125,2.625457763671875,0
wine,20,dijkstra,D,21,178,2390,37.51953125,37.38671875,40.38671875,2.8671875,40.5078125,0.241729736328125,2.625457763671875,0
wine,20,dijkstra,D,22,178,2390,37.5234375,37.38671875,40.38671875,2.86328125,40.5078125,0.241729736328125,2.621551513671875,0
wine,20,dijkstra,D,23,178,2390,37.5234375,37.390625,40.390625,2.8671875,40.5078125,0.241729736328125,2.625457763671875,0
wine,20,dijkstra,D,24,178,2390,37.5234375,37.390625,40.390625,2.8671875,40.5078125,0.241729736328125,2.625457763671875,0
wine,20,dijkstra,D,25,178,2390,37.52734375,37.390625,40.390625,2.86328125,40.5078125,0.241729736328125,2.621551513671875,0
wine,20,dijkstra,D,26,178,2390,37.52734375,37.39453125,40.39453125,2.8671875,40.51171875,0.241729736328125,2.625457763671875,0
wine,20,dijkstra,D,27,178,2390,37.52734375,37.39453125,40.39453125,2.8671875,40.51171875,0.241729736328125,2.625457763671875,0
wine,20,dijkstra,D,28,178,2390,37.52734375,37.39453125,40.39453125,2.8671875,40.51171875,0.241729736328125,2.625457763671875,0
wine,20,dijkstra,D,29,178,2390,37.52734375,37.39453125,40.39453125,2.8671875,40.51171875,0.241729736328125,2.625457763671875,0
wine,20,dijkstra,D,30,178,2390,37.53125,37.39453125,40.39453125,2.86328125,40.51953125,0.241729736328125,2.621551513671875,0
