dataset,k,algorithm,method,repeat,nodes,edges,baseline_rss_mib,baseline_maxrss_mib,peak_maxrss_mib,incremental_peak_rss_mib,end_rss_mib,output_matrix_mib,temporary_over_output_mib,affinity_cpu
wine,20,floyd_warshall,FW,1,178,2390,37.578125,37.4453125,39.9453125,2.3671875,39.984375,0.241729736328125,2.125457763671875,0
wine,20,floyd_warshall,FW,2,178,2390,37.578125,37.44921875,39.82421875,2.24609375,39.984375,0.241729736328125,2.004364013671875,0
wine,20,floyd_warshall,FW,3,178,2390,37.578125,37.44921875,39.82421875,2.24609375,39.984375,0.241729736328125,2.004364013671875,0
wine,20,floyd_warshall,FW,4,178,2390,37.578125,37.44921875,39.82421875,2.24609375,39.984375,0.241729736328125,2.004364013671875,0
wine,20,floyd_warshall,FW,5,178,2390,37.58203125,37.44921875,39.94921875,2.3671875,39.98828125,0.241729736328125,2.125457763671875,0
wine,20,floyd_warshall,FW,6,178,2390,37.58203125,37.453125,39.828125,2.24609375,39.98828125,0.241729736328125,2.004364013671875,0
wine,20,floyd_warshall,FW,7,178,2390,37.58203125,37.453125,39.828125,2.24609375,39.98828125,0.241729736328125,2.004364013671875,0
wine,20,floyd_warshall,FW,8,178,2390,37.58203125,37.453125,39.828125,2.24609375,39.9921875,0.241729736328125,2.004364013671875,0
wine,20,floyd_warshall,FW,9,178,2390,37.5859375,37.453125,39.953125,2.3671875,39.9921875,0.241729736328125,2.125457763671875,0
wine,20,floyd_warshall,FW,10,178,2390,37.5859375,37.45703125,39.83203125,2.24609375,39.9921875,0.241729736328125,2.004364013671875,0
wine,20,floyd_warshall,FW,11,178,2390,37.5859375,37.45703125,39.95703125,2.37109375,39.99609375,0.241729736328125,2.129364013671875,0
wine,20,floyd_warshall,FW,12,178,2390,37.5859375,37.45703125,39.95703125,2.37109375,39.99609375,0.241729736328125,2.129364013671875,0
wine,20,floyd_warshall,FW,13,178,2390,37.58984375,37.45703125,39.95703125,2.3671875,39.99609375,0.241729736328125,2.125457763671875,0
wine,20,floyd_warshall,FW,14,178,2390,37.58984375,37.45703125,39.95703125,2.3671875,39.99609375,0.241729736328125,2.125457763671875,0
wine,20,floyd_warshall,FW,15,178,2390,37.59375,37.4609375,39.9609375,2.3671875,40.0,0.241729736328125,2.125457763671875,0
wine,20,floyd_warshall,FW,16,178,2390,37.59375,37.46484375,39.83984375,2.24609375,40.0,0.241729736328125,2.004364013671875,0
wine,20,floyd_warshall,FW,17,178,2390,37.59375,37.46484375,39.83984375,2.24609375,40.0,0.241729736328125,2.004364013671875,0
wine,20,floyd_warshall,FW,18,178,2390,37.59765625,37.46484375,39.96484375,2.3671875,40.00390625,0.241729736328125,2.125457763671875,0
wine,20,floyd_warshall,FW,19,178,2390,37.59765625,37.46875,39.84375,2.24609375,40.00390625,0.241729736328125,2.004364013671875,0
wine,20,floyd_warshall,FW,20,178,2390,37.59765625,37.46875,39.84375,2.24609375,40.00390625,0.241729736328125,2.004364013671875,0
wine,20,floyd_warshall,FW,21,178,2390,37.59765625,37.46875,39.84375,2.24609375,40.00390625,0.241729736328125,2.004364013671875,0
wine,20,floyd_warshall,FW,22,178,2390,37.59765625,37.46875,39.84375,2.24609375,40.00390625,0.241729736328125,2.004364013671875,0
wine,20,floyd_warshall,FW,23,178,2390,37.59765625,37.46875,39.84375,2.24609375,40.00390625,0.241729736328125,2.004364013671875,0
wine,20,floyd_warshall,FW,24,178,2390,37.59765625,37.46875,39.84375,2.24609375,40.00390625,0.241729736328125,2.004364013671875,0
wine,20,floyd_warshall,FW,25,178,2390,37.6015625,37.46875,39.96875,2.3671875,40.0078125,0.241729736328125,2.125457763671875,0
wine,20,floyd_warshall,FW,26,178,2390,37.6015625,37.47265625,39.84765625,2.24609375,40.0078125,0.241729736328125,2.004364013671875,0
wine,20,floyd_warshall,FW,27,178,2390,37.60546875,37.47265625,39.97265625,2.3671875,40.01171875,0.241729736328125,2.125457763671875,0
wine,20,floyd_warshall,FW,28,178,2390,37.60546875,37.4765625,39.8515625,2.24609375,40.01171875,0.241729736328125,2.004364013671875,0
wine,20,floyd_warshall,FW,29,178,2390,37.60546875,37.4765625,39.8515625,2.24609375,40.01171875,0.241729736328125,2.004364013671875,0
wine,20,floyd_warshall,FW,30,178,2390,37.609375,37.4765625,39.9765625,2.3671875,40.015625,0.241729736328125,2.125457763671875,0
