dataset,k,algorithm,n_processes,baseline_rss_median_mib,peak_maxrss_median_mib,incremental_peak_rss_median_mib,incremental_peak_rss_iqr_mib,incremental_ci95_low_mib,incremental_ci95_high_mib,output_matrix_mib,temporary_over_output_median_mib
wine,5,floyd_warshall,30,37.625,39.880859375,2.2578125,0.0,2.2578125,2.2578125,0.241729736328125,2.016082763671875
wine,5,johnson,30,37.578125,40.474609375,2.90234375,0.00390625,2.90234375,2.90234375,0.241729736328125,2.660614013671875
wine,5,dijkstra,30,37.4921875,40.423828125,2.93359375,0.00390625,2.93359375,2.93359375,0.241729736328125,2.691864013671875
wine,10,floyd_warshall,30,37.40625,39.802734375,2.3984375,0.00390625,2.396484375,2.3984375,0.241729736328125,2.156707763671875
wine,10,johnson,30,37.58984375,40.310546875,2.72265625,0.00390625,2.71875,2.72265625,0.241729736328125,2.480926513671875
wine,10,dijkstra,30,37.40234375,40.455078125,3.05078125,0.00390625,3.05078125,3.0546875,0.241729736328125,2.809051513671875
wine,20,floyd_warshall,30,37.59375,39.845703125,2.24609375,0.12109375,2.24609375,2.3671875,0.241729736328125,2.004364013671875
wine,20,johnson,30,37.46484375,40.53515625,3.07421875,0.0,3.07421875,3.07421875,0.241729736328125,2.832489013671875
wine,20,dijkstra,30,37.51953125,40.3828125,2.8671875,0.0029296875,2.8671875,2.8671875,0.241729736328125,2.625457763671875
diabetes,5,floyd_warshall,30,37.66015625,41.392578125,3.734375,0.00390625,3.732421875,3.734375,1.490509033203125,2.243865966796875
diabetes,5,johnson,30,37.50390625,41.82421875,4.32421875,0.0029296875,4.32421875,4.32421875,1.490509033203125,2.833709716796875
diabetes,5,dijkstra,30,37.4453125,41.873046875,4.4296875,0.00390625,4.4296875,4.4296875,1.490509033203125,2.939178466796875
diabetes,10,floyd_warshall,30,37.65234375,41.427734375,3.77734375,0.0029296875,3.77734375,3.77734375,1.490509033203125,2.286834716796875
diabetes,10,johnson,30,37.640625,41.98046875,4.34375,0.0,4.34375,4.34375,1.490509033203125,2.853240966796875
diabetes,10,dijkstra,30,37.654296875,41.927734375,4.27734375,0.0029296875,4.27734375,4.27734375,1.490509033203125,2.786834716796875
diabetes,20,floyd_warshall,30,37.7109375,41.611328125,3.90625,0.0,3.90625,3.90625,1.490509033203125,2.415740966796875
diabetes,20,johnson,30,37.62109375,41.837890625,4.22265625,0.00390625,4.22265625,4.22265625,1.490509033203125,2.732147216796875
diabetes,20,dijkstra,30,37.640625,41.935546875,4.296875,0.00390625,4.294921875,4.296875,1.490509033203125,2.806365966796875
breast_cancer,5,floyd_warshall,30,37.5234375,42.291015625,4.76953125,0.00390625,4.765625,4.76953125,2.4701004028320312,2.2994308471679688
breast_cancer,5,johnson,30,37.62890625,42.845703125,5.21875,0.00390625,5.21875,5.21875,2.4701004028320312,2.7486495971679688
breast_cancer,5,dijkstra,30,37.6171875,42.83203125,5.21484375,0.091796875,5.21484375,5.21875,2.4701004028320312,2.7447433471679688
breast_cancer,10,floyd_warshall,30,37.59765625,42.400390625,4.8046875,0.0029296875,4.8046875,4.8046875,2.4701004028320312,2.3345870971679688
breast_cancer,10,johnson,30,37.65234375,42.884765625,5.234375,0.00390625,5.232421875,5.234375,2.4701004028320312,2.7642745971679688
breast_cancer,10,dijkstra,30,37.703125,42.9921875,5.2890625,0.119140625,5.2890625,5.29296875,2.4701004028320312,2.8189620971679688
breast_cancer,20,floyd_warshall,30,37.6015625,42.638671875,5.0390625,0.00390625,5.037109375,5.0390625,2.4701004028320312,2.5689620971679688
breast_cancer,20,johnson,30,37.78515625,43.091796875,5.30859375,0.0029296875,5.30859375,5.30859375,2.4701004028320312,2.8384933471679688
breast_cancer,20,dijkstra,30,37.7734375,43.220703125,5.44921875,0.0029296875,5.44921875,5.44921875,2.4701004028320312,2.9791183471679688
digits,5,floyd_warshall,30,37.734375,67.3984375,29.6640625,0.0,29.6640625,29.6640625,24.63690948486328,5.027153015136719
digits,5,johnson,30,37.66015625,65.25,27.58984375,0.0,27.58984375,27.58984375,24.63690948486328,2.9529342651367188
digits,5,dijkstra,30,37.5859375,65.171875,27.5859375,0.0,27.5859375,27.5859375,24.63690948486328,2.9490280151367188
digits,10,floyd_warshall,30,37.73046875,67.6328125,29.90234375,0.0,29.90234375,29.90234375,24.63690948486328,5.265434265136719
digits,10,johnson,30,37.86328125,65.78515625,27.921875,0.0,27.921875,27.921875,24.63690948486328,3.2849655151367188
digits,10,dijkstra,30,37.69140625,65.66796875,27.9765625,0.0,27.9765625,27.9765625,24.63690948486328,3.3396530151367188
digits,20,floyd_warshall,30,38.109375,68.078125,29.96875,0.0,29.96875,29.96875,24.63690948486328,5.331840515136719
digits,20,johnson,30,38.07421875,66.61328125,28.5390625,0.0,28.5390625,28.5390625,24.63690948486328,3.902153015136719
digits,20,dijkstra,30,38.1328125,66.10546875,27.97265625,0.0,27.97265625,27.97265625,24.63690948486328,3.3357467651367188
