dataset,k,nodes,edges,density,mean_degree,min_degree,max_degree,components,min_weight,max_weight,all_weights_positive
wine,5,178,634,0.04024630229162699,7.123595505617978,5,15,1,1.1641136694837708,5.085811848802751,True
wine,10,178,1231,0.07814384561670792,13.831460674157304,10,31,1,1.1641136694837708,5.530161223144974,True
wine,20,178,2390,0.15171713324446137,26.853932584269664,20,50,1,1.1641136694837708,5.795767659018681,True
diabetes,5,442,1586,0.016273175937041483,7.176470588235294,5,15,1,0.4775828685854855,3.710251027490684,True
diabetes,10,442,3083,0.0316331660869476,13.950226244343892,10,30,1,0.4775828685854855,4.337911384528248,True
diabetes,20,442,6084,0.062424969987995196,27.529411764705884,20,59,1,0.4775828685854855,4.645912275481917,True
breast_cancer,5,569,2168,0.013416173667665041,7.6203866432337435,5,18,1,1.0061149471356947,14.276229341531112,True
breast_cancer,10,569,4277,0.026467239288101192,15.033391915641475,10,36,1,1.0061149471356947,15.588258870354775,True
breast_cancer,20,569,8390,0.0519196019703458,29.490333919156416,20,67,1,1.0061149471356947,16.78959323389657,True
digits,5,1797,6427,0.003982757701836642,7.153032832498609,5,20,1,0.9361849379174333,45.84648263539895,True
digits,10,1797,12618,0.007819268193834565,14.043405676126879,10,35,1,0.9361849379174333,46.335511194891225,True
digits,20,1797,24927,0.015447051693431146,27.742904841402336,20,65,1,0.9361849379174333,47.6004678267361,True
