dataset,k,algorithm,wall_median_s,incremental_peak_rss_median_mib,pareto_optimal
breast_cancer,5,floyd_warshall,0.166300438,4.76953125,True
breast_cancer,5,johnson,0.061103452,5.21875,False
breast_cancer,5,dijkstra,0.054896181,5.21484375,True
breast_cancer,10,dijkstra,0.0733695355,5.2890625,True
breast_cancer,10,floyd_warshall,0.1971023015,4.8046875,True
breast_cancer,10,johnson,0.08613824249999999,5.234375,True
breast_cancer,20,floyd_warshall,0.2249568595,5.0390625,True
breast_cancer,20,johnson,0.1345500315,5.30859375,True
breast_cancer,20,dijkstra,0.1109171685,5.44921875,True
diabetes,5,floyd_warshall,0.075805856,3.734375,True
diabetes,5,dijkstra,0.0319217705,4.4296875,True
diabetes,5,johnson,0.035192564499999995,4.32421875,True
diabetes,10,floyd_warshall,0.0974121285,3.77734375,True
diabetes,10,johnson,0.051452063,4.34375,False
diabetes,10,dijkstra,0.0441561205,4.27734375,True
diabetes,20,dijkstra,0.06438798800000001,4.296875,True
diabetes,20,floyd_warshall,0.112220422,3.90625,True
diabetes,20,johnson,0.07864091200000001,4.22265625,True
digits,5,dijkstra,0.5736028165,27.5859375,True
digits,5,floyd_warshall,4.9695733230000005,29.6640625,False
digits,5,johnson,0.646768318,27.58984375,False
digits,10,dijkstra,0.763962764,27.9765625,True
digits,10,floyd_warshall,6.1089968475,29.90234375,False
digits,10,johnson,0.9172234375,27.921875,True
digits,20,johnson,1.4573580074999999,28.5390625,False
digits,20,floyd_warshall,7.1267176254999995,29.96875,False
digits,20,dijkstra,1.1736723645,27.97265625,True
wine,5,floyd_warshall,0.00445966386363635,2.2578125,True
wine,5,dijkstra,0.00499690904545445,2.93359375,False
wine,5,johnson,0.0056446724444444,2.90234375,False
wine,10,dijkstra,0.0068170645625,3.05078125,False
wine,10,johnson,0.008031061083333301,2.72265625,False
wine,10,floyd_warshall,0.00516215265,2.3984375,True
wine,20,dijkstra,0.010352869,2.8671875,False
wine,20,johnson,0.0125501545,3.07421875,False
wine,20,floyd_warshall,0.0059701371875,2.24609375,True
