dataset,k,seed_id,algorithm,method,repeat,batch_iterations,wall_time_s,cpu_time_s,cpu_wall_ratio,affinity_cpu,nodes,edges
breast_cancer,10,0,dijkstra,D,1,1,0.070933123,0.070933362,1.0000033693708932,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,1,1,0.196939588,0.196915578,0.9998780844407982,0,569,4277
breast_cancer,10,0,johnson,J,1,1,0.086117853,0.086104609,0.9998462107502843,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,2,1,0.195357816,0.195363541,1.0000293052006684,0,569,4277
breast_cancer,10,0,johnson,J,2,1,0.085842958,0.08584201,0.9999889565781273,0,569,4277
breast_cancer,10,0,dijkstra,D,2,1,0.074547187,0.074547044,0.9999980817518977,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,3,1,0.19330627,0.193253166,0.9997252856826631,0,569,4277
breast_cancer,10,0,johnson,J,3,1,0.083834633,0.083824261,0.9998762802480449,0,569,4277
breast_cancer,10,0,dijkstra,D,3,1,0.070662256,0.07066021,0.9999710453626048,0,569,4277
breast_cancer,10,0,johnson,J,4,1,0.085141869,0.085141057,0.9999904629765646,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,4,1,0.195631315,0.195610666,0.999894449413684,0,569,4277
breast_cancer,10,0,dijkstra,D,4,1,0.071015948,0.071014366,0.9999777233136422,0,569,4277
breast_cancer,10,0,dijkstra,D,5,1,0.070992445,0.070990351,0.9999705039036195,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,5,1,0.194508409,0.194478003,0.9998436777095844,0,569,4277
breast_cancer,10,0,johnson,J,5,1,0.085455946,0.085453551,0.9999719738635858,0,569,4277
breast_cancer,10,0,johnson,J,6,1,0.085961784,0.085959236,0.999970358921355,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,6,1,0.194487101,0.194475118,0.9999383866593806,0,569,4277
breast_cancer,10,0,dijkstra,D,6,1,0.072567707,0.072557745,0.9998627213066,0,569,4277
breast_cancer,10,0,johnson,J,7,1,0.086076229,0.086066518,0.9998871813959228,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,7,1,0.195547773,0.19553557,0.9999375958119451,0,569,4277
breast_cancer,10,0,dijkstra,D,7,1,0.076410568,0.076409676,0.9999883262221005,0,569,4277
breast_cancer,10,0,johnson,J,8,1,0.089199308,0.089198241,0.9999880380237927,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,8,1,0.197466054,0.197368728,0.9995071254120468,0,569,4277
breast_cancer,10,0,dijkstra,D,8,1,0.071874186,0.071873529,0.9999908590269112,0,569,4277
breast_cancer,10,0,johnson,J,9,1,0.084670527,0.084669287,0.99998535499844,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,9,1,0.191510425,0.191497931,0.9999347607316939,0,569,4277
breast_cancer,10,0,dijkstra,D,9,1,0.070006031,0.070005109,0.9999868297061435,0,569,4277
breast_cancer,10,0,dijkstra,D,10,1,0.072865154,0.072863849,0.9999820902045989,0,569,4277
breast_cancer,10,0,johnson,J,10,1,0.087056553,0.087056173,0.9999956350212947,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,10,1,0.1993584,0.19932944,0.9998547339866292,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,11,1,0.197927394,0.197916984,0.9999474049559809,0,569,4277
breast_cancer,10,0,johnson,J,11,1,0.085782165,0.085781489,0.9999921195740398,0,569,4277
breast_cancer,10,0,dijkstra,D,11,1,0.07147529,0.071474012,0.9999821196947926,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,12,1,0.192354491,0.192335277,0.9999001115081841,0,569,4277
breast_cancer,10,0,dijkstra,D,12,1,0.069794617,0.069782242,0.9998226940624947,0,569,4277
breast_cancer,10,0,johnson,J,12,1,0.087022688,0.087024503,1.00002085662994,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,13,1,0.19499651,0.19496926,0.9998602539091597,0,569,4277
breast_cancer,10,0,johnson,J,13,1,0.084978466,0.084911164,0.9992080111213115,0,569,4277
breast_cancer,10,0,dijkstra,D,13,1,0.069980948,0.069982737,1.000025564100675,0,569,4277
breast_cancer,10,0,johnson,J,14,1,0.084002391,0.083992657,0.9998841223459938,0,569,4277
breast_cancer,10,0,dijkstra,D,14,1,0.073637795,0.073636548,0.9999830657612709,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,14,1,0.193575518,0.193544828,0.999841457223945,0,569,4277
breast_cancer,10,0,johnson,J,15,1,0.084538328,0.084537028,0.9999846223596947,0,569,4277
breast_cancer,10,0,dijkstra,D,15,1,0.074067488,0.074058429,0.9998776926254066,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,15,1,0.197487402,0.197477754,0.9999511462508378,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,16,1,0.19771274,0.197676963,0.9998190455506307,0,569,4277
breast_cancer,10,0,dijkstra,D,16,1,0.075613819,0.075616022,1.0000291348860453,0,569,4277
breast_cancer,10,0,johnson,J,16,1,0.086158632,0.086160608,1.0000229344402776,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,17,1,0.19829912,0.198286993,0.9999388449126754,0,569,4277
breast_cancer,10,0,johnson,J,17,1,0.087568007,0.087557162,0.9998761533992659,0,569,4277
breast_cancer,10,0,dijkstra,D,17,1,0.075523014,0.07552193,0.9999856467592779,0,569,4277
breast_cancer,10,0,johnson,J,18,1,0.08556553,0.085563422,0.999975363911145,0,569,4277
breast_cancer,10,0,dijkstra,D,18,1,0.075265241,0.075256008,0.999877327171516,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,18,1,0.201914865,0.20185122,0.999684792895263,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,19,1,0.200545536,0.200534333,0.999944137375364,0,569,4277
breast_cancer,10,0,dijkstra,D,19,1,0.075259246,0.075259789,1.000007215060326,0,569,4277
breast_cancer,10,0,johnson,J,19,1,0.088374861,0.08837355,0.9999851654646449,0,569,4277
breast_cancer,10,0,johnson,J,20,1,0.087520077,0.087519053,0.9999882998274784,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,20,1,0.196151671,0.196132573,0.9999026365673939,0,569,4277
breast_cancer,10,0,dijkstra,D,20,1,0.072853868,0.072860032,1.0000846077246028,0,569,4277
breast_cancer,10,0,johnson,J,21,1,0.090717588,0.090718046,1.0000050486351113,0,569,4277
breast_cancer,10,0,dijkstra,D,21,1,0.072919712,0.072846888,0.9990013125668955,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,21,1,0.19662542,0.196621313,0.9999791125684563,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,22,1,0.193859007,0.193847206,0.9999391258617145,0,569,4277
breast_cancer,10,0,johnson,J,22,1,0.087062606,0.087061593,0.9999883646947119,0,569,4277
breast_cancer,10,0,dijkstra,D,22,1,0.073101276,0.07309411,0.9999019716153792,0,569,4277
breast_cancer,10,0,johnson,J,23,1,0.085206968,0.085205359,0.9999811165678375,0,569,4277
breast_cancer,10,0,dijkstra,D,23,1,0.075769945,0.075769309,0.9999916061704941,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,23,1,0.199689452,0.199668502,0.9998950870975398,0,569,4277
breast_cancer,10,0,johnson,J,24,1,0.086271383,0.086233507,0.9995609668156127,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,24,1,0.196824825,0.196806545,0.9999071255366287,0,569,4277
breast_cancer,10,0,dijkstra,D,24,1,0.072578376,0.072578209,0.9999976990391739,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,25,1,0.204736995,0.204713679,0.9998861173086965,0,569,4277
breast_cancer,10,0,johnson,J,25,1,0.088806223,0.088765169,0.9995377125767414,0,569,4277
breast_cancer,10,0,dijkstra,D,25,1,0.077795444,0.077796794,1.0000173532013006,0,569,4277
breast_cancer,10,0,johnson,J,26,1,0.087833454,0.087833806,1.000004007584627,0,569,4277
breast_cancer,10,0,dijkstra,D,26,1,0.076029608,0.076030361,1.0000099040363328,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,26,1,0.197429743,0.197352085,0.9996066550114489,0,569,4277
breast_cancer,10,0,johnson,J,27,1,0.087691993,0.087692126,1.0000015166721095,0,569,4277
breast_cancer,10,0,dijkstra,D,27,1,0.074433481,0.074435185,1.0000228929236832,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,27,1,0.201556085,0.201526086,0.999851163014999,0,569,4277
breast_cancer,10,0,johnson,J,28,1,0.086031839,0.086030044,0.9999791356314027,0,569,4277
breast_cancer,10,0,dijkstra,D,28,1,0.074952563,0.074952808,1.0000032687341192,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,28,1,0.200789007,0.200777008,0.9999402407523237,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,29,1,0.197265015,0.197207948,0.9997107089668181,0,569,4277
breast_cancer,10,0,dijkstra,D,29,1,0.076107278,0.076087193,0.9997360961983163,0,569,4277
breast_cancer,10,0,johnson,J,29,1,0.088338012,0.088337452,0.9999936607131255,0,569,4277
breast_cancer,10,0,floyd_warshall,FW,30,1,0.206713826,0.206693589,0.9999021013717777,0,569,4277
breast_cancer,10,0,johnson,J,30,1,0.08920456,0.089196811,0.9999131322434638,0,569,4277
breast_cancer,10,0,dijkstra,D,30,1,0.07720356,0.077204508,1.000012279226502,0,569,4277
