dataset,k,seed_id,algorithm,method,repeat,batch_iterations,wall_time_s,cpu_time_s,cpu_wall_ratio,affinity_cpu,nodes,edges
diabetes,10,0,floyd_warshall,FW,1,1,0.09457072,0.094568401,0.999975478668239,0,442,3083
diabetes,10,0,johnson,J,1,1,0.049348165,0.049349748,1.000032078193789,0,442,3083
diabetes,10,0,dijkstra,D,1,1,0.04296847,0.042969746,1.0000296961935111,0,442,3083
diabetes,10,0,johnson,J,2,1,0.050887106,0.050887643,1.0000105527714624,0,442,3083
diabetes,10,0,dijkstra,D,2,1,0.043494388,0.043495074,1.0000157721497311,0,442,3083
diabetes,10,0,floyd_warshall,FW,2,1,0.094598254,0.094594519,0.9999605172416818,0,442,3083
diabetes,10,0,dijkstra,D,3,1,0.042841502,0.042842671,1.0000272866250115,0,442,3083
diabetes,10,0,floyd_warshall,FW,3,1,0.095522503,0.095518697,0.9999601559854436,0,442,3083
diabetes,10,0,johnson,J,3,1,0.050674476,0.050675792,1.0000259696814624,0,442,3083
diabetes,10,0,dijkstra,D,4,1,0.042637117,0.04263818,1.0000249313291985,0,442,3083
diabetes,10,0,floyd_warshall,FW,4,1,0.106109496,0.106106519,0.9999719440755802,0,442,3083
diabetes,10,0,johnson,J,4,1,0.057149511,0.057150119,1.000010638761196,0,442,3083
diabetes,10,0,johnson,J,5,1,0.054760002,0.054751043,0.999836395184938,0,442,3083
diabetes,10,0,floyd_warshall,FW,5,1,0.104580041,0.10457567,0.9999582042619394,0,442,3083
diabetes,10,0,dijkstra,D,5,1,0.039690672,0.03969244,1.0000445444713055,0,442,3083
diabetes,10,0,johnson,J,6,1,0.050617735,0.050619645,1.0000377338100963,0,442,3083
diabetes,10,0,dijkstra,D,6,1,0.043516267,0.043517265,1.000022933952492,0,442,3083
diabetes,10,0,floyd_warshall,FW,6,1,0.096738658,0.096734629,0.9999583517067189,0,442,3083
diabetes,10,0,johnson,J,7,1,0.050074165,0.050061965,0.9997563613891516,0,442,3083
diabetes,10,0,dijkstra,D,7,1,0.043603127,0.043603724,1.000013691678581,0,442,3083
diabetes,10,0,floyd_warshall,FW,7,1,0.09742447,0.097420247,0.9999566536004764,0,442,3083
diabetes,10,0,floyd_warshall,FW,8,1,0.095141246,0.095129114,0.9998724843271445,0,442,3083
diabetes,10,0,johnson,J,8,1,0.05563802,0.05563879,1.000013839457263,0,442,3083
diabetes,10,0,dijkstra,D,8,1,0.042810202,0.042811159,1.000022354484569,0,442,3083
diabetes,10,0,dijkstra,D,9,1,0.044204419,0.044206743,1.000052573929317,0,442,3083
diabetes,10,0,floyd_warshall,FW,9,1,0.104831441,0.104828869,0.9999754653758886,0,442,3083
diabetes,10,0,johnson,J,9,1,0.058380674,0.058382142,1.0000251453075035,0,442,3083
diabetes,10,0,dijkstra,D,10,1,0.043336101,0.043337037,1.0000215986205128,0,442,3083
diabetes,10,0,floyd_warshall,FW,10,1,0.111762534,0.111759745,0.9999750453045383,0,442,3083
diabetes,10,0,johnson,J,10,1,0.059542012,0.059544213,1.0000369654958923,0,442,3083
diabetes,10,0,floyd_warshall,FW,11,1,0.113216171,0.113194561,0.9998091262068913,0,442,3083
diabetes,10,0,johnson,J,11,1,0.056547917,0.056550308,1.0000422827245785,0,442,3083
diabetes,10,0,dijkstra,D,11,1,0.044896528,0.044898562,1.000045304171405,0,442,3083
diabetes,10,0,johnson,J,12,1,0.057473251,0.057474415,1.0000202528999098,0,442,3083
diabetes,10,0,dijkstra,D,12,1,0.043902035,0.043902605,1.000012983452817,0,442,3083
diabetes,10,0,floyd_warshall,FW,12,1,0.109930646,0.10992691,0.9999660149363626,0,442,3083
diabetes,10,0,floyd_warshall,FW,13,1,0.10904987,0.109047821,0.999981210431521,0,442,3083
diabetes,10,0,dijkstra,D,13,1,0.044976855,0.04498003,1.0000705918633037,0,442,3083
diabetes,10,0,johnson,J,13,1,0.054854211,0.054840317,0.9997467104211927,0,442,3083
