dataset,k,seed_id,algorithm,method,repeat,batch_iterations,wall_time_s,cpu_time_s,cpu_wall_ratio,affinity_cpu,nodes,edges
digits,10,0,dijkstra,D,1,1,0.9025452,0.902416308,0.9998571905318425,0,1797,12618
digits,10,0,floyd_warshall,FW,1,1,6.077620461,6.076640571,0.9998387707810502,0,1797,12618
digits,10,0,johnson,J,1,1,0.894298061,0.894158465,0.9998439043915136,0,1797,12618
digits,10,0,johnson,J,2,1,0.920779958,0.920661194,0.9998710180440309,0,1797,12618
digits,10,0,floyd_warshall,FW,2,1,6.237913471,6.236918818,0.9998405471629859,0,1797,12618
digits,10,0,dijkstra,D,2,1,0.720205079,0.720116405,0.9998768767361053,0,1797,12618
digits,10,0,dijkstra,D,3,1,0.773065401,0.772955183,0.9998574273278077,0,1797,12618
digits,10,0,johnson,J,3,1,0.901780294,0.901656898,0.9998631640092148,0,1797,12618
digits,10,0,floyd_warshall,FW,3,1,6.234205664,6.232424873,0.9997143515796594,0,1797,12618
digits,10,0,dijkstra,D,4,1,0.794460629,0.794361551,0.9998752889742004,0,1797,12618
digits,10,0,johnson,J,4,1,1.015965239,1.015795024,0.9998324598190312,0,1797,12618
digits,10,0,floyd_warshall,FW,4,1,6.116954678,6.116046995,0.9998516119461757,0,1797,12618
digits,10,0,floyd_warshall,FW,5,1,6.071573006,6.070583646,0.9998370504646782,0,1797,12618
digits,10,0,johnson,J,5,1,0.970676402,0.97054559,0.9998652362417274,0,1797,12618
digits,10,0,dijkstra,D,5,1,0.72535433,0.725249983,0.9998561434106279,0,1797,12618
digits,10,0,floyd_warshall,FW,6,1,6.055545268,6.054539794,0.999833958139936,0,1797,12618
digits,10,0,dijkstra,D,6,1,0.742292639,0.742203927,0.9998804891826498,0,1797,12618
digits,10,0,johnson,J,6,1,0.907352294,0.907220982,0.9998552800264371,0,1797,12618
digits,10,0,johnson,J,7,1,0.894880147,0.894781739,0.9998900322011502,0,1797,12618
digits,10,0,dijkstra,D,7,1,0.732828665,0.732684158,0.9998028092964949,0,1797,12618
digits,10,0,floyd_warshall,FW,7,1,6.154875934,6.153849865,0.9998332916843486,0,1797,12618
digits,10,0,dijkstra,D,8,1,0.737497102,0.737399786,0.9998680455831812,0,1797,12618
digits,10,0,johnson,J,8,1,0.879654412,0.879551439,0.9998829392559222,0,1797,12618
digits,10,0,floyd_warshall,FW,8,1,6.101039017,6.100212872,0.9998645894580092,0,1797,12618
digits,10,0,johnson,J,9,1,1.067814709,1.067671952,0.9998663092025265,0,1797,12618
digits,10,0,dijkstra,D,9,1,0.781420396,0.781319876,0.9998713624567331,0,1797,12618
digits,10,0,floyd_warshall,FW,9,1,6.118044336,6.117100109,0.9998456652243523,0,1797,12618
digits,10,0,dijkstra,D,10,1,0.79379888,0.79365,0.9998124461954393,0,1797,12618
