dataset,k,seed_id,algorithm,method,repeat,batch_iterations,wall_time_s,cpu_time_s,cpu_wall_ratio,affinity_cpu,nodes,edges
wine,10,0,dijkstra,D,1,8,0.006846838375,0.0068469715,1.0000194432806369,0,178,1231
wine,10,0,johnson,J,1,6,0.008400849333333333,0.008390077833333334,0.9987178082152647,0,178,1231
wine,10,0,floyd_warshall,FW,1,10,0.0052657772,0.0052658673,1.0000171104846594,0,178,1231
wine,10,0,johnson,J,2,6,0.008123419333333333,0.008123564,1.0000178085927527,0,178,1231
wine,10,0,dijkstra,D,2,8,0.00674755425,0.00673841225,0.9986451387182251,0,178,1231
wine,10,0,floyd_warshall,FW,2,10,0.005080313,0.0050804064,1.0000183846940138,0,178,1231
wine,10,0,floyd_warshall,FW,3,10,0.0051715749,0.0051717607999999995,1.000035946496685,0,178,1231
wine,10,0,johnson,J,3,6,0.008018187333333334,0.0080183515,1.0000204742867485,0,178,1231
wine,10,0,dijkstra,D,3,8,0.006740557,0.006740556875,0.9999999814555385,0,178,1231
wine,10,0,floyd_warshall,FW,4,10,0.005090365,0.0050904146999999995,1.0000097635434786,0,178,1231
wine,10,0,dijkstra,D,4,8,0.006630424375,0.00663035575,0.9999896499837538,0,178,1231
wine,10,0,johnson,J,4,6,0.007982460166666667,0.007982469833333334,1.0000012109884002,0,178,1231
wine,10,0,johnson,J,5,6,0.007961566333333333,0.007961640833333334,1.000009357455164,0,178,1231
wine,10,0,dijkstra,D,5,8,0.006813877125,0.006813967125,1.0000132083391509,0,178,1231
wine,10,0,floyd_warshall,FW,5,10,0.0051388019,0.0051388469,1.0000087569049898,0,178,1231
wine,10,0,floyd_warshall,FW,6,10,0.005113006,0.005113118,1.0000219049224663,0,178,1231
wine,10,0,dijkstra,D,6,8,0.00676321275,0.006763256625,1.0000064873014678,0,178,1231
wine,10,0,johnson,J,6,6,0.007851959833333333,0.007851930666666666,0.9999962854284425,0,178,1231
wine,10,0,floyd_warshall,FW,7,10,0.005166543500000001,0.0051665407000000005,0.9999994580515967,0,178,1231
wine,10,0,johnson,J,7,6,0.008033874333333333,0.008034047666666667,1.0000215753105093,0,178,1231
wine,10,0,dijkstra,D,7,8,0.006613558125,0.006612458375,0.9998337128094719,0,178,1231
wine,10,0,dijkstra,D,8,8,0.00667443125,0.0066746615,1.000034497321401,0,178,1231
wine,10,0,floyd_warshall,FW,8,10,0.0051396973,0.0051397490999999995,1.00001007841454,0,178,1231
wine,10,0,johnson,J,8,6,0.0082852705,0.008285406666666667,1.000016434788299,0,178,1231
wine,10,0,dijkstra,D,9,8,0.0065878125,0.006587775875,0.9999944404914378,0,178,1231
wine,10,0,floyd_warshall,FW,9,10,0.0051164566,0.005116417999999999,0.999992455716325,0,178,1231
