dataset,k,seed_id,algorithm,method,repeat,batch_iterations,wall_time_s,cpu_time_s,cpu_wall_ratio,affinity_cpu,nodes,edges
wine,5,0,floyd_warshall,FW,1,11,0.0051393005454545,0.0051386166363636,0.999866925647788,0,178,634
wine,5,0,dijkstra,D,1,11,0.005438900090909,0.0054381046363636,0.9998537471672287,0,178,634
wine,5,0,johnson,J,1,9,0.0068141372222222,0.006814148,1.0000015816790044,0,178,634
wine,5,0,floyd_warshall,FW,2,11,0.0046733992727272,0.0046734967272727,1.0000208530321864,0,178,634
wine,5,0,dijkstra,D,2,11,0.0050039229999999,0.005003884090909,0.999992224282646,0,178,634
wine,5,0,johnson,J,2,9,0.006001775,0.006001785,1.000001666173757,0,178,634
wine,5,0,johnson,J,3,9,0.0061297254444444,0.0061308985555555,1.0001913806942486,0,178,634
wine,5,0,dijkstra,D,3,11,0.0050131808181818,0.0050131667272727,0.9999971892278372,0,178,634
wine,5,0,floyd_warshall,FW,3,11,0.004599601090909,0.0045939069090909,0.9987620270311188,0,178,634
wine,5,0,dijkstra,D,4,11,0.004975870090909,0.004975895,1.0000050059769354,0,178,634
wine,5,0,floyd_warshall,FW,4,11,0.0044237193636363,0.0044237467272727,1.0000061856628133,0,178,634
wine,5,0,johnson,J,4,9,0.0054985752222222,0.0054985717777777,0.9999993735750982,0,178,634
wine,5,0,floyd_warshall,FW,5,11,0.0048636885454545,0.0048637747272727,1.0000177194360569,0,178,634
wine,5,0,johnson,J,5,9,0.0060496532222222,0.0060509983333333,1.0002223451595822,0,178,634
wine,5,0,dijkstra,D,5,11,0.0049552842727272,0.0049552802727272,0.9999991927809224,0,178,634
wine,5,0,floyd_warshall,FW,6,11,0.004494555,0.0044946099090909,1.0000122168025332,0,178,634
wine,5,0,dijkstra,D,6,11,0.0051911203636363,0.0051912335454545,1.0000218029654977,0,178,634
wine,5,0,johnson,J,6,9,0.0056861317777777,0.0056862872222222,1.000027337467811,0,178,634
wine,5,0,johnson,J,7,9,0.0056105291111111,0.0056106473333333,1.0000210714925242,0,178,634
wine,5,0,dijkstra,D,7,11,0.0050541617272727,0.0050541071818181,0.9999892078137802,0,178,634
wine,5,0,floyd_warshall,FW,7,11,0.0046016717272727,0.004601746090909,1.0000161601350055,0,178,634
wine,5,0,dijkstra,D,8,11,0.0050446481818181,0.005044707090909,1.0000116775419785,0,178,634
wine,5,0,johnson,J,8,9,0.0056568334444444,0.0056569158888888,1.0000145743100366,0,178,634
wine,5,0,floyd_warshall,FW,8,11,0.0048049135454545,0.0048050754545454,1.0000336965669367,0,178,634
wine,5,0,floyd_warshall,FW,9,11,0.0043614161818181,0.0043604085454545,0.99976896578505,0,178,634
wine,5,0,johnson,J,9,9,0.0055493385555555,0.0055482736666666,0.9998081052582704,0,178,634
wine,5,0,dijkstra,D,9,11,0.0050528546363636,0.0050527939090909,0.99998798159118,0,178,634
wine,5,0,dijkstra,D,10,11,0.0051092988181818,0.0051092501818181,0.9999904808144195,0,178,634
wine,5,0,floyd_warshall,FW,10,11,0.004458341,0.0044584832727272,1.000031911584886,0,178,634
wine,5,0,johnson,J,10,9,0.0059693738888888,0.0059694791111111,1.0000176270115055,0,178,634
wine,5,0,johnson,J,11,9,0.0056731444444444,0.0056742755555555,1.0001993799245177,0,178,634
wine,5,0,floyd_warshall,FW,11,11,0.0045644019090909,0.0045644672727272,1.000014320306946,0,178,634
wine,5,0,dijkstra,D,11,11,0.0050308867272727,0.0050305961818181,0.9999422476652138,0,178,634
wine,5,0,floyd_warshall,FW,12,11,0.0042882189090909,0.0042875529090909,0.9998446907645996,0,178,634
wine,5,0,johnson,J,12,9,0.0054431148888888,0.0054431445555555,1.00000545031058,0,178,634
wine,5,0,dijkstra,D,12,11,0.0049870617272727,0.0049869976363636,0.9999871485631028,0,178,634
wine,5,0,johnson,J,13,9,0.0062127372222222,0.0062128823333333,1.0000233570334491,0,178,634
wine,5,0,floyd_warshall,FW,13,11,0.0045475415454545,0.004547612,1.000015492886596,0,178,634
wine,5,0,dijkstra,D,13,11,0.006341014090909,0.0063410414545454,1.000004315340728,0,178,634
wine,5,0,dijkstra,D,14,11,0.0074279649090909,0.007427860090909,0.9999858887079972,0,178,634
wine,5,0,johnson,J,14,9,0.008481664,0.0084785663333333,0.999634780785154,0,178,634
wine,5,0,floyd_warshall,FW,14,11,0.0060539589090909,0.0060539079090909,0.9999915757604628,0,178,634
wine,5,0,floyd_warshall,FW,15,11,0.0044609867272727,0.0044610719090909,1.000019094837844,0,178,634
wine,5,0,johnson,J,15,9,0.0054936087777777,0.0054938363333333,1.000041421871262,0,178,634
wine,5,0,dijkstra,D,15,11,0.0047943568181818,0.0047942999090909,0.9999881299842572,0,178,634
wine,5,0,floyd_warshall,FW,16,11,0.0042514248181818,0.0042514274545454,1.000000620112962,0,178,634
wine,5,0,dijkstra,D,16,11,0.0048952119999999,0.0048943402727272,0.999821922467765,0,178,634
wine,5,0,johnson,J,16,9,0.0056325114444444,0.0056315062222222,0.9998215321474022,0,178,634
wine,5,0,dijkstra,D,17,11,0.004943073090909,0.0049431692727272,1.0000194578992487,0,178,634
wine,5,0,johnson,J,17,9,0.0054713926666666,0.0054713891111111,0.9999993501552946,0,178,634
wine,5,0,floyd_warshall,FW,17,11,0.0042078678181818,0.004207841090909,0.9999936482622832,0,178,634
wine,5,0,johnson,J,18,9,0.0054047996666666,0.005404732,0.999987480263684,0,178,634
wine,5,0,dijkstra,D,18,11,0.004852703,0.0048526779090909,0.9999948294983042,0,178,634
wine,5,0,floyd_warshall,FW,18,11,0.0043953302727272,0.0043953949090909,1.0000147056898177,0,178,634
wine,5,0,floyd_warshall,FW,19,11,0.0043757926363636,0.0043758657272727,1.000016703467272,0,178,634
wine,5,0,johnson,J,19,9,0.005529491,0.0055295502222222,1.0000107102484157,0,178,634
wine,5,0,dijkstra,D,19,11,0.0049183069090909,0.0049182565454545,0.9999897599647004,0,178,634
wine,5,0,floyd_warshall,FW,20,11,0.004510793090909,0.0045092737272727,0.9996631715075948,0,178,634
wine,5,0,johnson,J,20,9,0.0054680324444444,0.0054681486666666,1.0000212548523448,0,178,634
wine,5,0,dijkstra,D,20,11,0.0050168902727272,0.0050168649090909,0.9999949443509852,0,178,634
wine,5,0,dijkstra,D,21,11,0.0047454306363636,0.0047453948181818,0.9999924520692508,0,178,634
wine,5,0,floyd_warshall,FW,21,11,0.0043648066363636,0.0043648836363636,1.0000176411022104,0,178,634
wine,5,0,johnson,J,21,9,0.0054713015555555,0.005471305,1.000000629547542,0,178,634
wine,5,0,floyd_warshall,FW,22,11,0.0043374017272727,0.00433739,0.999997296244742,0,178,634
