dataset,k,algorithm,n_runs,wall_median_s,wall_iqr_s,wall_mean_s,wall_sd_s,wall_ci95_low_s,wall_ci95_high_s,cpu_median_s,cpu_wall_ratio_median,nodes,edges
wine,5,floyd_warshall,30,0.00445966386363635,0.0002336009318181743,0.004541257375757537,0.00034817561474166956,0.004385922363636351,0.004555971727272699,0.004459777590909051,1.0000111455204894,178,634
wine,5,dijkstra,30,0.00499690904545445,0.00012511854545449973,0.005124427745454493,0.0005146469982973011,0.00496358149999995,0.0050491348795453994,0.0049964474999999505,0.99999012038956,178,634
wine,5,johnson,30,0.0056446724444444,0.000506986250000026,0.005847798096296249,0.0005908522714998857,0.00554622561111105,0.00595366061111105,0.0056442110555555,1.0000126422792261,178,634
wine,10,dijkstra,30,0.0068170645625,0.00024210875000000003,0.006905410679166666,0.0002614651448113301,0.0067553835,0.0069583866875,0.006817080125,0.9999905088023873,178,1231
wine,10,johnson,30,0.008031061083333301,0.00018505858333335047,0.00809054111666664,0.00017995856231641872,0.0079864853333333,0.00813929516666665,0.0080311228333333,1.0000161086935162,178,1231
wine,10,floyd_warshall,30,0.00516215265,0.00019995619999997518,0.005223271876666651,0.00015304610445546215,0.00512403169999995,0.0052849846499999995,0.0051617003,1.0000017906384597,178,1231
wine,20,dijkstra,30,0.010352869,0.0005135682499999988,0.010371282433333334,0.0003380612061662783,0.010136414,0.010498977,0.0103572415,1.0003706912560686,178,2390
wine,20,johnson,30,0.0125501545,0.00047098599999999963,0.012724750233333334,0.0006798028850440797,0.012406173999999999,0.012701858,0.012553809999999999,1.0002978076889049,178,2390
wine,20,floyd_warshall,30,0.0059701371875,0.0002472228125000005,0.006069349833333334,0.0002972781199462198,0.0059474943125,0.0060811724703125,0.0059695410625,1.0000081053899201,178,2390
diabetes,5,floyd_warshall,30,0.075805856,0.0019816067499999895,0.0756833542,0.0012474175241132864,0.07485810400000001,0.0763600925,0.075787942,0.9999761697229448,442,1586
diabetes,5,dijkstra,30,0.0319217705,0.0010537122499999982,0.031924375633333335,0.0006977924679286565,0.0315182955,0.03222421,0.031902193499999995,1.0000781959734837,442,1586
diabetes,5,johnson,30,0.035192564499999995,0.0014776127500000028,0.03578056803333333,0.0012371926933034657,0.035091854500000005,0.036107009,0.035188036,1.0000498398454045,442,1586
diabetes,10,floyd_warshall,30,0.0974121285,0.01225601124999999,0.10252524676666666,0.008527121849408752,0.09685074499999999,0.1054704685,0.097408357,0.9999618483653976,442,3083
diabetes,10,johnson,30,0.051452063,0.005739145500000008,0.05376452826666667,0.0045144434544432815,0.0507569965,0.0556659195,0.0514526755,1.0000130852875007,442,3083
diabetes,10,dijkstra,30,0.0441561205,0.0019382864999999971,0.0440924699,0.0014528695571865368,0.043499918,0.0449366915,0.044152825,1.000026108977105,442,3083
diabetes,20,dijkstra,30,0.06438798800000001,0.0025094590000000055,0.06507969129999999,0.0027366591305063932,0.0636407675,0.0655857535,0.0643872475,0.9999940488538435,442,6084
diabetes,20,floyd_warshall,30,0.112220422,0.003180676500000007,0.11259304743333334,0.0021939420203868076,0.11136511,0.1135585865,0.11221615500000001,0.999958560950682,442,6084
diabetes,20,johnson,30,0.07864091200000001,0.0033802520000000003,0.07860894590000002,0.0023077657191248762,0.077488506,0.07918570750000001,0.07864024,0.9999896935657613,442,6084
breast_cancer,5,floyd_warshall,30,0.166300438,0.005263829750000004,0.16682612413333336,0.00372794025451244,0.1646250025,0.168287139,0.1662681295,0.99989769560683,569,2168
breast_cancer,5,johnson,30,0.061103452,0.0020150927499999957,0.06162438776666668,0.0017248725336112213,0.060512475999999996,0.061915824,0.061100061,1.0000082572172881,569,2168
breast_cancer,5,dijkstra,30,0.054896181,0.003198541749999999,0.055288089199999994,0.0021263749152442093,0.053921931500000006,0.056238580499999996,0.0548966335,1.0000119741176627,569,2168
breast_cancer,10,dijkstra,30,0.0733695355,0.003883556750000003,0.07354123913333334,0.0022993759358659388,0.07257304149999999,0.0751059045,0.073365329,0.9999875779641221,569,4277
breast_cancer,10,floyd_warshall,30,0.1971023015,0.004006743499999993,0.1973522591,0.003473850660298465,0.195589544,0.197820067,0.197061763,0.9998975993028619,569,4277
breast_cancer,10,johnson,30,0.08613824249999999,0.002177654500000001,0.08660111436666668,0.001669775243468528,0.085782165,0.08729134150000001,0.0861326085,0.9999848939121698,569,4277
breast_cancer,20,floyd_warshall,30,0.2249568595,0.0073761037500000015,0.22565678539999998,0.006652434694072526,0.2219829155,0.226910498,0.2249261575,0.9999304337550641,569,8390
breast_cancer,20,johnson,30,0.1345500315,0.0036449604999999885,0.13500858543333333,0.003674892780829486,0.13314373,0.13517615,0.1345310505,0.9999538044549658,569,8390
breast_cancer,20,dijkstra,30,0.1109171685,0.0036049350000000036,0.11101215433333335,0.003197500870767026,0.1102623455,0.1119423125,0.1109134555,0.9999700628663069,569,8390
digits,5,dijkstra,30,0.5736028165,0.03020056825000006,0.5725253848,0.02737852571039944,0.5635702220000001,0.5848627425,0.5735302579999999,0.9998670608574347,1797,6427
digits,5,floyd_warshall,30,4.9695733230000005,0.10453592399999945,5.020536921933333,0.14828021107337935,4.941849102500001,4.9960707835000004,4.9687581640000005,0.9998324077893412,1797,6427
digits,5,johnson,30,0.646768318,0.03919560675,0.6570248989999999,0.028518311888663283,0.638322863,0.660845633,0.6466968755,0.999880070038152,1797,6427
digits,10,dijkstra,30,0.763962764,0.043674219499999944,0.7660377919,0.038407649241367296,0.751754656,0.7802652905,0.7638456465000001,0.9998578845659768,1797,12618
digits,10,floyd_warshall,30,6.1089968475,0.13674721475000062,6.155532082866668,0.18261158874310401,6.071573006,6.163318395999999,6.1081299335,0.9998285205365951,1797,12618
digits,10,johnson,30,0.9172234375,0.07626367350000007,0.9315695537333336,0.04963929250214505,0.894589104,0.9516010500000001,0.9170796135,0.9998625680880391,1797,12618
digits,20,johnson,30,1.4573580074999999,0.1203577615,1.4665472543999998,0.06270907101726618,1.4230629905,1.5067099545,1.4571062245,0.9998417402965989,1797,24927
digits,20,floyd_warshall,30,7.1267176254999995,0.44674975524999994,7.207064178233334,0.3087708524119363,7.0015452245,7.226085818,7.1255448035,0.9998314233931891,1797,24927
digits,20,dijkstra,30,1.1736723645,0.06968880475000017,1.1589244218333334,0.04714258627835417,1.1243619535,1.185118375,1.1734824714999998,0.9998467677845382,1797,24927
