dataset,k,seed_id,algorithm,method,repeat,batch_iterations,wall_time_s,cpu_time_s,cpu_wall_ratio,affinity_cpu,nodes,edges
digits_n1500,10,1,floyd_warshall,FW,1,1,3.497097898,3.496584152,0.9998530936179129,0,1500,10536
digits_n1500,10,1,dijkstra,D,1,1,0.533843361,0.533778473,0.9998784512373098,0,1500,10536
digits_n1500,10,1,johnson,J,1,1,0.616541746,0.616428316,0.9998160221903287,0,1500,10536
digits_n1500,10,1,johnson,J,2,1,0.625360785,0.625272988,0.9998596058433692,0,1500,10536
digits_n1500,10,1,dijkstra,D,2,1,0.518502202,0.518421055,0.9998434972895256,0,1500,10536
digits_n1500,10,1,floyd_warshall,FW,2,1,3.48003061,3.479466532,0.9998379100464292,0,1500,10536
digits_n1500,10,1,floyd_warshall,FW,3,1,3.504386536,3.503068836,0.999623985543129,0,1500,10536
digits_n1500,10,1,johnson,J,3,1,0.598587079,0.598514226,0.999878291726374,0,1500,10536
digits_n1500,10,1,dijkstra,D,3,1,0.524181489,0.524092515,0.9998302610796698,0,1500,10536
digits_n1500,10,1,dijkstra,D,4,1,0.496497357,0.496440264,0.999885008451314,0,1500,10536
digits_n1500,10,1,johnson,J,4,1,0.609192814,0.60911384,0.9998703628831709,0,1500,10536
digits_n1500,10,1,floyd_warshall,FW,4,1,3.510067234,3.509539321,0.9998496003168013,0,1500,10536
digits_n1500,10,1,dijkstra,D,5,1,0.526750856,0.526697499,0.9998987054327633,0,1500,10536
digits_n1500,10,1,floyd_warshall,FW,5,1,3.51638883,3.515734962,0.9998140512805576,0,1500,10536
digits_n1500,10,1,johnson,J,5,1,0.620814978,0.620752887,0.9998999846939904,0,1500,10536
digits_n1500,10,1,dijkstra,D,6,1,0.542061128,0.541929378,0.9997569462313484,0,1500,10536
digits_n1500,10,1,johnson,J,6,1,0.67219104,0.672073477,0.9998251047797364,0,1500,10536
digits_n1500,10,1,floyd_warshall,FW,6,1,3.550263325,3.549623916,0.9998198981479774,0,1500,10536
