dataset,n,k,seed_id,sampling_seed,nodes,edges,density,mean_degree,components,graph_path
digits_scaling,100,5,0,11.0,100,333,0.0672727272727272,6.66,1,scaling_graphs/digits_n100_k5_s0.npz
digits_scaling,100,10,0,11.0,100,659,0.1331313131313131,13.18,1,scaling_graphs/digits_n100_k10_s0.npz
digits_scaling,100,20,0,11.0,100,1340,0.2707070707070707,26.8,1,scaling_graphs/digits_n100_k20_s0.npz
digits_scaling,100,5,1,23.0,100,343,0.0692929292929293,6.86,1,scaling_graphs/digits_n100_k5_s1.npz
digits_scaling,100,10,1,23.0,100,678,0.1369696969696969,13.56,1,scaling_graphs/digits_n100_k10_s1.npz
digits_scaling,100,20,1,23.0,100,1379,0.2785858585858586,27.58,1,scaling_graphs/digits_n100_k20_s1.npz
digits_scaling,100,5,2,37.0,100,336,0.0678787878787878,6.72,1,scaling_graphs/digits_n100_k5_s2.npz
digits_scaling,100,10,2,37.0,100,649,0.1311111111111111,12.98,1,scaling_graphs/digits_n100_k10_s2.npz
digits_scaling,100,20,2,37.0,100,1329,0.2684848484848485,26.58,1,scaling_graphs/digits_n100_k20_s2.npz
digits_scaling,100,5,3,53.0,100,334,0.0674747474747474,6.68,1,scaling_graphs/digits_n100_k5_s3.npz
digits_scaling,100,10,3,53.0,100,676,0.1365656565656565,13.52,1,scaling_graphs/digits_n100_k10_s3.npz
digits_scaling,100,20,3,53.0,100,1340,0.2707070707070707,26.8,1,scaling_graphs/digits_n100_k20_s3.npz
digits_scaling,100,5,4,71.0,100,330,0.0666666666666666,6.6,1,scaling_graphs/digits_n100_k5_s4.npz
digits_scaling,100,10,4,71.0,100,674,0.1361616161616161,13.48,1,scaling_graphs/digits_n100_k10_s4.npz
digits_scaling,100,20,4,71.0,100,1368,0.2763636363636363,27.36,1,scaling_graphs/digits_n100_k20_s4.npz
digits_scaling,150,5,0,11.0,150,517,0.0462639821029082,6.8933333333333335,1,scaling_graphs/digits_n150_k5_s0.npz
digits_scaling,150,10,0,11.0,150,1012,0.0905592841163311,13.493333333333334,1,scaling_graphs/digits_n150_k10_s0.npz
digits_scaling,150,20,0,11.0,150,2053,0.1837136465324385,27.37333333333333,1,scaling_graphs/digits_n150_k20_s0.npz
digits_scaling,150,5,1,23.0,150,519,0.0464429530201342,6.92,1,scaling_graphs/digits_n150_k5_s1.npz
digits_scaling,150,10,1,23.0,150,1021,0.0913646532438478,13.613333333333332,1,scaling_graphs/digits_n150_k10_s1.npz
digits_scaling,150,20,1,23.0,150,2052,0.1836241610738255,27.36,1,scaling_graphs/digits_n150_k20_s1.npz
digits_scaling,150,5,2,37.0,150,528,0.047248322147651,7.04,1,scaling_graphs/digits_n150_k5_s2.npz
digits_scaling,150,10,2,37.0,150,989,0.0885011185682326,13.186666666666667,1,scaling_graphs/digits_n150_k10_s2.npz
digits_scaling,150,20,2,37.0,150,1982,0.1773601789709172,26.426666666666662,1,scaling_graphs/digits_n150_k20_s2.npz
