dataset,nodes,k,seed_id,algorithm,seed_median_s,seed_iqr_s,n_repeats
digits_n100,100,5,0,dijkstra,0.0017784761200000001,4.943853999992494e-05,6
digits_n100,100,5,0,floyd_warshall,0.00125401454999995,4.4031456249900205e-05,6
digits_n100,100,5,0,johnson,0.0019917987083333,6.730271874997532e-05,6
digits_n100,100,5,1,dijkstra,0.00178406183999995,9.441096000005001e-05,6
digits_n100,100,5,1,floyd_warshall,0.0012454281875000001,4.3496875000000046e-05,6
digits_n100,100,5,1,johnson,0.00208194599999995,0.00012388029545449966,6
digits_n100,100,5,2,dijkstra,0.0017460711666665999,4.0786351851875013e-05,6
digits_n100,100,5,2,floyd_warshall,0.00119767806756755,5.0666155405425066e-05,6
digits_n100,100,5,2,johnson,0.0021012401956521497,2.824480434787495e-05,6
digits_n100,100,5,3,dijkstra,0.0017638791896551,6.643512068962507e-05,6
digits_n100,100,5,3,floyd_warshall,0.0012734382439024,4.626306707320002e-05,6
digits_n100,100,5,3,johnson,0.0020749902391304,8.218458695652495e-05,6
digits_n100,100,5,4,dijkstra,0.0017184952199999501,0.00016728684000002505,6
digits_n100,100,5,4,floyd_warshall,0.0013555410441176,4.203127941174991e-05,6
digits_n100,100,5,4,johnson,0.001966787347826,6.680282608700016e-05,6
digits_n100,100,10,0,dijkstra,0.002229856025,5.2078787499925186e-05,6
digits_n100,100,10,0,floyd_warshall,0.0015644742121212,6.168139393939983e-05,6
digits_n100,100,10,0,johnson,0.0029052245625000002,0.00016089606249999975,6
digits_n100,100,10,1,dijkstra,0.0023692107,4.664476249999997e-05,6
digits_n100,100,10,1,floyd_warshall,0.0016943508833333,4.098703333337505e-05,6
digits_n100,100,10,1,johnson,0.0031219043823529,0.00017216419117645036,6
digits_n100,100,10,2,dijkstra,0.00251591399999995,0.0001491887159090501,6
digits_n100,100,10,2,floyd_warshall,0.00163188858620685,2.0636655172424868e-05,6
digits_n100,100,10,2,johnson,0.0031358234705881503,0.00014782673529407497,6
digits_n100,100,10,3,dijkstra,0.00244002845,0.00026526561250000014,6
digits_n100,100,10,3,floyd_warshall,0.00169255134482755,8.282295689655004e-05,6
digits_n100,100,10,3,johnson,0.00316488992857135,0.0002076108928571502,6
digits_n100,100,10,4,dijkstra,0.0023994011944443996,0.00011877431944447509,6
digits_n100,100,10,4,floyd_warshall,0.00171535234482755,9.593359482757509e-05,6
digits_n100,100,10,4,johnson,0.0030584934411764,7.513113235297492e-05,6
digits_n100,100,20,0,dijkstra,0.00339511199999995,0.00018994407142849988,6
digits_n100,100,20,0,floyd_warshall,0.0019134517222222,9.413585185185009e-05,6
digits_n100,100,20,0,johnson,0.00438485238461535,0.00020179657692304988,6
digits_n100,100,20,1,dijkstra,0.0034257486923076497,1.3961442307700283e-05,6
digits_n100,100,20,1,floyd_warshall,0.0018934124230769,4.6385721153850094e-05,6
digits_n100,100,20,1,johnson,0.0045083852272727,0.00015497375000000056,6
digits_n100,100,20,2,dijkstra,0.0033582582333333,0.0003784548833333499,6
digits_n100,100,20,2,floyd_warshall,0.00173974142857135,6.012633035715003e-05,6
digits_n100,100,20,2,johnson,0.00443086036363635,5.180790909089898e-05,6
digits_n100,100,20,3,dijkstra,0.0033958566428571,0.00014083239285709974,6
digits_n100,100,20,3,floyd_warshall,0.00181542072413785,9.223880172415009e-05,6
digits_n100,100,20,3,johnson,0.0045105803636363,6.894463636365061e-05,6
digits_n100,100,20,4,dijkstra,0.00329130606666665,1.831341666670011e-05,6
digits_n100,100,20,4,floyd_warshall,0.0018561341034481998,5.599100862065023e-05,6
digits_n100,100,20,4,johnson,0.00447461004166665,0.00013284722916665024,6
digits_n1000,1000,5,0,dijkstra,0.16835258349999999,0.0017915109999999956,6
digits_n1000,1000,5,0,floyd_warshall,0.776687196,0.009955015499999997,6
digits_n1000,1000,5,0,johnson,0.1961645545,0.0103921035,6
digits_n1000,1000,5,1,dijkstra,0.16850200999999998,0.0034722589999999776,6
digits_n1000,1000,5,1,floyd_warshall,0.7642979535000001,0.006585565500000001,6
digits_n1000,1000,5,1,johnson,0.18608043800000001,0.017640265999999988,6
digits_n1000,1000,5,2,dijkstra,0.16704288750000001,0.006371005749999992,6
digits_n1000,1000,5,2,floyd_warshall,0.7709537609999999,0.008366411000000018,6
digits_n1000,1000,5,2,johnson,0.1873389345,0.0034769027500000105,6
digits_n1000,1000,5,3,dijkstra,0.16741892549999998,0.004254047000000011,6
digits_n1000,1000,5,3,floyd_warshall,0.754275823,0.009222537749999926,6
digits_n1000,1000,5,3,johnson,0.209811692,0.010279821249999987,6
digits_n1000,1000,5,4,dijkstra,0.1699354545,0.0066393927500000005,6
digits_n1000,1000,5,4,floyd_warshall,0.787467913,0.003848497250000027,6
digits_n1000,1000,5,4,johnson,0.188539869,0.006220938000000009,6
digits_n1000,1000,10,0,dijkstra,0.223429105,0.006243537000000021,6
digits_n1000,1000,10,0,floyd_warshall,1.016731781,0.010995900499999989,6
digits_n1000,1000,10,0,johnson,0.265961553,0.01643617450000001,6
digits_n1000,1000,10,1,dijkstra,0.232929245,0.003810479750000012,6
digits_n1000,1000,10,1,floyd_warshall,1.1292562465,0.01460908350000012,6
digits_n1000,1000,10,1,johnson,0.2949096175,0.008197198250000037,6
digits_n1000,1000,10,2,dijkstra,0.23547547,0.022055218750000022,6
digits_n1000,1000,10,2,floyd_warshall,1.0373669335,0.09601857224999999,6
digits_n1000,1000,10,2,johnson,0.2632166465,0.028328891000000023,6
digits_n1000,1000,10,3,dijkstra,0.226884087,0.009018655999999986,6
digits_n1000,1000,10,3,floyd_warshall,1.0367310475,0.013830075500000039,6
